Run	Assay Type	AvgSpotLen	Bases	BIOME	BioProject	BioSample	BioSampleModel	Bytes	Center Name	Collection_Date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Depth	Env_package	Experiment	feature	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Instrument	Investigation_type	lat_lon	LibraryLayout	LibrarySelection	LibrarySource	material	Organism	Platform	ReleaseDate	SampleName	SRA Study	Size_fraction
SRR1178378	AMPLICON	500	3141407	water	PRJNA239310	SAMN02662103	"MIMARKS.survey,MIGS/MIMS/MIMARKS.water"	1823951	UNIVERSITY OF COPENHAGEN	10/17/12	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	1 m	MIGS/MIMS/MIMARKS.water	SRX477426	Estuary	Denmark	Europe	Denmark: Roskilde Fjord	Illumina MiSeq	miens-survey	55.7 N 12.07944444 E	PAIRED	PCR	GENOMIC	Water	aquatic metagenome	ILLUMINA	2014-03-15T00:00:00Z	RD20	SRP038933	B
SRR1178343	AMPLICON	501	3992006	water	PRJNA239310	SAMN02662116	"MIMARKS.survey,MIGS/MIMS/MIMARKS.water"	2420102	UNIVERSITY OF COPENHAGEN	10/17/12	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	1 m	MIGS/MIMS/MIMARKS.water	SRX477439	Estuary	Denmark	Europe	Denmark: Roskilde Fjord	Illumina MiSeq	miens-survey	55.7 N 12.07944444 E	PAIRED	RT-PCR	TRANSCRIPTOMIC	Water	aquatic metagenome	ILLUMINA	2014-03-15T00:00:00Z	RR19	SRP038933	A
SRR1178344	AMPLICON	501	2773151	water	PRJNA239310	SAMN02662117	"MIMARKS.survey,MIGS/MIMS/MIMARKS.water"	1685015	UNIVERSITY OF COPENHAGEN	10/17/12	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	1 m	MIGS/MIMS/MIMARKS.water	SRX477440	Estuary	Denmark	Europe	Denmark: Roskilde Fjord	Illumina MiSeq	miens-survey	55.7 N 12.07944444 E	PAIRED	RT-PCR	TRANSCRIPTOMIC	Water	aquatic metagenome	ILLUMINA	2014-03-15T00:00:00Z	RR20	SRP038933	B
SRR1178354	AMPLICON	501	5170341	water	PRJNA239310	SAMN02662132	"MIMARKS.survey,MIGS/MIMS/MIMARKS.water"	2797282	UNIVERSITY OF COPENHAGEN	10/22/12	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	1 m	MIGS/MIMS/MIMARKS.water	SRX477450	Estuary	Denmark	Europe	Denmark: Great Belt	Illumina MiSeq	miens-survey	55.5075 N 10.86194444 E	PAIRED	PCR	GENOMIC	Water	aquatic metagenome	ILLUMINA	2014-03-15T00:00:00Z	SD19	SRP038933	A
SRR1178358	AMPLICON	500	3631885	water	PRJNA239310	SAMN02662133	"MIMARKS.survey,MIGS/MIMS/MIMARKS.water"	2137397	UNIVERSITY OF COPENHAGEN	10/22/12	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	1 m	MIGS/MIMS/MIMARKS.water	SRX477454	Estuary	Denmark	Europe	Denmark: Great Belt	Illumina MiSeq	miens-survey	55.5075 N 10.86194444 E	PAIRED	PCR	GENOMIC	Water	aquatic metagenome	ILLUMINA	2014-03-15T00:00:00Z	SD20	SRP038933	B
SRR1178371	AMPLICON	501	2876242	water	PRJNA239310	SAMN02664571	"MIMARKS.survey,MIGS/MIMS/MIMARKS.water"	1763723	UNIVERSITY OF COPENHAGEN	10/22/12	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	1 m	MIGS/MIMS/MIMARKS.water	SRX477467	Estuary	Denmark	Europe	Denmark: Great Belt	Illumina MiSeq	miens-survey	55.5075 N 10.86194444 E	PAIRED	RT-PCR	TRANSCRIPTOMIC	Water	aquatic metagenome	ILLUMINA	2014-03-15T00:00:00Z	SR20	SRP038933	A
SRR1178372	AMPLICON	501	2767807	water	PRJNA239310	SAMN02664572	"MIMARKS.survey,MIGS/MIMS/MIMARKS.water"	1531119	UNIVERSITY OF COPENHAGEN	10/22/12	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	1 m	MIGS/MIMS/MIMARKS.water	SRX477468	Estuary	Denmark	Europe	Denmark: Great Belt	Illumina MiSeq	miens-survey	55.5075 N 10.86194444 E	PAIRED	RT-PCR	TRANSCRIPTOMIC	Water	aquatic metagenome	ILLUMINA	2014-03-15T00:00:00Z	SR21	SRP038933	B
SRR1178349	AMPLICON	500	7899549	water	PRJNA239310	SAMN02662124	"MIMARKS.survey,MIGS/MIMS/MIMARKS.water"	4565413	UNIVERSITY OF COPENHAGEN	11/4/12	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	1 m	MIGS/MIMS/MIMARKS.water	SRX477445	Estuary	Denmark	Europe	Denmark: Great Belt	Illumina MiSeq	miens-survey	55.5075 N 10.86194444 E	PAIRED	PCR	GENOMIC	Water	aquatic metagenome	ILLUMINA	2014-03-15T00:00:00Z	SD7	SRP038933	A
SRR1178350	AMPLICON	500	4596092	water	PRJNA239310	SAMN02662125	"MIMARKS.survey,MIGS/MIMS/MIMARKS.water"	2722060	UNIVERSITY OF COPENHAGEN	11/4/12	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	1 m	MIGS/MIMS/MIMARKS.water	SRX477446	Estuary	Denmark	Europe	Denmark: Great Belt	Illumina MiSeq	miens-survey	55.5075 N 10.86194444 E	PAIRED	PCR	GENOMIC	Water	aquatic metagenome	ILLUMINA	2014-03-15T00:00:00Z	SD8	SRP038933	B
SRR1178363	AMPLICON	501	4609380	water	PRJNA239310	SAMN02662138	"MIMARKS.survey,MIGS/MIMS/MIMARKS.water"	2799372	UNIVERSITY OF COPENHAGEN	11/4/12	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	1 m	MIGS/MIMS/MIMARKS.water	SRX477459	Estuary	Denmark	Europe	Denmark: Great Belt	Illumina MiSeq	miens-survey	55.5075 N 10.86194444 E	PAIRED	RT-PCR	TRANSCRIPTOMIC	Water	aquatic metagenome	ILLUMINA	2014-03-15T00:00:00Z	SR7	SRP038933	A
SRR1178364	AMPLICON	501	3668326	water	PRJNA239310	SAMN02662139	"MIMARKS.survey,MIGS/MIMS/MIMARKS.water"	2232532	UNIVERSITY OF COPENHAGEN	11/4/12	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	1 m	MIGS/MIMS/MIMARKS.water	SRX477460	Estuary	Denmark	Europe	Denmark: Great Belt	Illumina MiSeq	miens-survey	55.5075 N 10.86194444 E	PAIRED	RT-PCR	TRANSCRIPTOMIC	Water	aquatic metagenome	ILLUMINA	2014-03-15T00:00:00Z	SR8	SRP038933	B
