AUID_NEW,ARB2017.id,ARB2017.pctId,ARB2017.alen,ARB2017.evalue,Genomes879.id,Genomes879.pctId,Genomes879.alen,Genomes879.evalue,Genomes879.tax,MarineDiazo.subject,MarineDiazo.pid,MarineDiazo.alen,MarineDiazo.evalue,MarineDiazo.description,AUID,UCYNA_oligos,qcovs,pident,evalue,bitscore,Genoes879.pid_flag,MarineDiazo.ID,consensus_id,subcluster,cluster,CON,nifH_cluster,group1,group2,group3,group4,CyanoCON,crocoCMB,CyanoGroups,CyanoGroupsII,CyanoGroupsIII,CyanoGroupsIV
AUID.13528,ACX68565.1|uncultured_bacterium,91.743,327,6.7e-128,Desulfovibrio aespoeensis,97.248,109,1.0899999999999998e-73,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio,NA,NA,NA,NA,NA,AUID.21253,NA,NA,NA,NA,NA,1,NA,Desulfovibrio aespoeensis,3E,3,Desulfovibrio aespoeensis,3,1A C3,"1A,  3,  &  1J/1K",1A C3,1A/C3 1J/1K,3,Desulfovibrio aespoeensis,Desulfovibrio aespoeensis,Desulfovibrio aespoeensis,Desulfovibrio aespoeensis,Desulfovibrio aespoeensis
AUID.1353,ALN98307.1|uncultured_bacterium,100,310,1.6699999999999998e-163,Teredinibacter turnerae,95.146,103,7.42e-70,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadalesgeneraincertaesedis;Teredinibacter,Part_Farn_OTU_1012,100,309,2.8899999999999996e-165,Gamma 3,AUID.1182,NA,NA,NA,NA,NA,NA,Gamma 3;Part_Farn_OTU_1012,Gamma 3;Part_Farn_OTU_1012,1G,1,Gamma 3;Part_Farn_OTU_1012,1G,1G,1G,1B 1J/1K,1B & 1G,1G,Gamma 3;Part_Farn_OTU_1012,Gamma 3;Part_Farn_OTU_1012,Gamma 3;Part_Farn_OTU_1012,Gamma 3;Part_Farn_OTU_1012,Gamma 3;Part_Farn_OTU_1012
AUID.13531,AKS11419.1|uncultured_microorganism,97.554,327,1.3799999999999997e-159,Pelobacter carbinolicus,94.495,109,9.29e-73,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Pelobacteraceae;Pelobacter,NA,NA,NA,NA,NA,AUID.21255,NA,NA,NA,NA,NA,NA,NA,unknown1A,1A,1,unknown1A,1A,1A C3,"1A,  3,  &  1J/1K",1A C3,1A/C3 1J/1K,1A,unknown1A,unknown1A,unknown1A,unknown1A,unknown1A
AUID.13533,AAZ06728.1|uncultured_nitrogen-fixing,81.672,311,2.0299999999999998e-68,Verrucomicrobiae bacterium,93.578,109,2.16e-70,Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;__f;__g,NA,NA,NA,NA,NA,AUID.21257,NA,NA,NA,NA,NA,NA,NA,unknown3,3E,3,unknown3,3,1A C3,"1A,  3,  &  1J/1K",1A C3,1A/C3 1J/1K,3,unknown3,unknown3,unknown3,unknown3,unknown3
AUID.13534,AAO67680.1|uncultured_bacterium,99.083,327,6.339999999999999e-168,Desulfovibrio aespoeensis,95.413,109,3.55e-71,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio,NA,NA,NA,NA,NA,AUID.21258,NA,NA,NA,NA,NA,NA,NA,unknown3,3E,3,unknown3,3,1A C3,"1A,  3,  &  1J/1K",1A C3,1A/C3 1J/1K,3,unknown3,unknown3,unknown3,unknown3,unknown3
AUID.13539,AKS11261.1|uncultured_microorganism,99.694,327,2.9199999999999996e-171,Desulfatibacillum alkenivorans,88.889,108,1.47e-64,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfatibacillum,NA,NA,NA,NA,NA,AUID.21263,NA,NA,NA,NA,NA,NA,NA,unknown3,3N,3,unknown3,3,1A C3,"1A,  3,  &  1J/1K",1A C3,1A/C3 1J/1K,3,unknown3,unknown3,unknown3,unknown3,unknown3
AUID.13540,AKU75726.1|uncultured_marine,87.423,326,5.369999999999999e-104,Chloroherpeton thalassium,84.404,109,1.02e-65,Bacteria;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae;Chloroherpeton,NA,NA,NA,NA,NA,AUID.21264,NA,NA,NA,NA,NA,NA,NA,unknown3,3N,3,unknown3,3,1A C3,"1A,  3,  &  1J/1K",1A C3,1A/C3 1J/1K,3,unknown3,unknown3,unknown3,unknown3,unknown3
AUID.13541,ADO24990.1|uncultured_bacterium,85.627,327,1.51e-94,Desulfomicrobium baculatum,88.991,109,1.3899999999999999e-68,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfomicrobiaceae;Desulfomicrobium,NA,NA,NA,NA,NA,AUID.21265,NA,NA,NA,NA,NA,NA,NA,unknown3,3I,3,unknown3,3,1A C3,"1A,  3,  &  1J/1K",1A C3,1A/C3 1J/1K,3,unknown3,unknown3,unknown3,unknown3,unknown3
AUID.13543,AFD03717.1|uncultured_bacterium,77.188,320,1.26e-45,Paludibacter propionicigenes,84.404,109,6.98e-53,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Paludibacter,NA,NA,NA,NA,NA,AUID.21267,NA,NA,NA,NA,NA,NA,NA,unknown3,3B,3,unknown3,3,1A C3,"1A,  3,  &  1J/1K",1A C3,1A/C3 1J/1K,3,unknown3,unknown3,unknown3,unknown3,unknown3
AUID.13546,AHI71665.1|uncultured_bacterium,82.875,327,1.5500000000000003e-79,Desulfatibacillum alkenivorans,90.826,109,5.42e-68,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfatibacillum,NA,NA,NA,NA,NA,AUID.21270,NA,NA,NA,NA,NA,NA,NA,unknown3,3H,3,unknown3,3,1A C3,"1A,  3,  &  1J/1K",1A C3,1A/C3 1J/1K,3,unknown3,unknown3,unknown3,unknown3,unknown3
AUID.13547,AGW50760.1|gamma_proteobacterium,83.438,320,1.2e-80,delta proteobacterium,95.413,109,7.460000000000001e-73,Bacteria;Proteobacteria;Deltaproteobacteria;__o;__f;__g,NA,NA,NA,NA,NA,AUID.21271,NA,NA,NA,NA,NA,NA,NA,unknown3,3E,3,unknown3,3,1A C3,"1A,  3,  &  1J/1K",1A C3,1A/C3 1J/1K,3,unknown3,unknown3,unknown3,unknown3,unknown3
AUID.13552,AFD03792.1|uncultured_bacterium,80.247,324,5.68e-64,Desulfatibacillum alkenivorans,88.991,109,2.85e-65,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfatibacillum,NA,NA,NA,NA,NA,AUID.21275,NA,NA,NA,NA,NA,NA,NA,unknown3,3N,3,unknown3,3,1A C3,"1A,  3,  &  1J/1K",1A C3,1A/C3 1J/1K,3,unknown3,unknown3,unknown3,unknown3,unknown3
AUID.13553,YP_007466571.1|Desulfocapsa_sulfexigens,80.734,327,7.299999999999998e-68,delta proteobacterium,92.661,109,2.34e-70,Bacteria;Proteobacteria;Deltaproteobacteria;__o;__f;__g,NA,NA,NA,NA,NA,AUID.21276,NA,NA,NA,NA,NA,NA,NA,unknown3,3E,3,unknown3,3,1A C3,"1A,  3,  &  1J/1K",1A C3,1A/C3 1J/1K,3,unknown3,unknown3,unknown3,unknown3,unknown3
AUID.13559,ADD48950.1|uncultured_bacterium,82.748,313,2.0099999999999996e-73,delta proteobacterium,95.413,109,1.1199999999999999e-72,Bacteria;Proteobacteria;Deltaproteobacteria;__o;__f;__g,NA,NA,NA,NA,NA,AUID.21281,NA,NA,NA,NA,NA,NA,NA,unknown3,3E,3,unknown3,3,1A C3,"1A,  3,  &  1J/1K",1A C3,1A/C3 1J/1K,3,unknown3,unknown3,unknown3,unknown3,unknown3
AUID.135672,AAP74673.1|uncultured_bacterium,87.963,324,3.1799999999999993e-106,Cyanothece sp.,94.444,108,2.72e-63,Bacteria;Cyanobacteria;__c;Chroococcales;__f;Cyanothece,NA,NA,NA,NA,NA,AUID.130113,NA,NA,NA,NA,NA,NA,NA,unknown1B,1B,1,unknown1B,1B,1B,1B,1B,1B & 1G,unknown1B,unknown1B,unknown1B,unknown1B,unknown1B,unknown1B
AUID.13570,AFD03718.1|uncultured_bacterium,99.388,327,1.3599999999999998e-169,Candidatus Azobacteroides,85.321,109,2.47e-64,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;CandidatusAzobacteroides;__g,NA,NA,NA,NA,NA,AUID.10178,NA,NA,NA,NA,NA,NA,NA,unknown3,3H,3,unknown3,3,1A C3,"1A,  3,  &  1J/1K",1A C3,1A/C3 1J/1K,3,unknown3,unknown3,unknown3,unknown3,unknown3
AUID.13571,ADM51608.1|uncultured_bacterium,84.472,322,3.3e-86,Opitutaceae bacterium,88.991,109,3.62e-68,Bacteria;Verrucomicrobia;Opitutae;Opitutales;Opitutaceae;__g,NA,NA,NA,NA,NA,AUID.10301,NA,NA,NA,NA,NA,NA,NA,unknown3,3Q,3,unknown3,3,1A C3,"1A,  3,  &  1J/1K",1A C3,1A/C3 1J/1K,3,unknown3,unknown3,unknown3,unknown3,unknown3
AUID.13578,AKP56022.1|uncultured_nitrogen-fixing,91.641,323,1.12e-125,Pelobacter carbinolicus,93.578,109,1.2700000000000002e-72,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Pelobacteraceae;Pelobacter,NA,NA,NA,NA,NA,AUID.21296,NA,NA,NA,NA,NA,NA,NA,unknown1A,1A,1,unknown1A,1A,1A C3,"1A,  3,  &  1J/1K",1A C3,1A/C3 1J/1K,1A,unknown1A,unknown1A,unknown1A,unknown1A,unknown1A
AUID.13580,OHC65356.1|Rhodocyclales_bacterium,91.159,328,4.03e-125,Sideroxydans lithotrophicus,96.33,109,1.61e-73,Bacteria;Proteobacteria;Betaproteobacteria;Gallionellales;Gallionellaceae;Sideroxydans,NA,NA,NA,NA,NA,AUID.21298,NA,NA,NA,NA,NA,NA,NA,unknown1P,1P,1,unknown1P,1O/1P,1O/1P,1O/1P,1O/1P,1B & 1G,1O/1P,unknown1P,unknown1P,unknown1P,unknown1P,unknown1P
AUID.13583,APP89957.1|uncultured_bacterium,82.067,329,4.33e-75,Desulfomicrobium baculatum,91.743,109,2.69e-69,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfomicrobiaceae;Desulfomicrobium,NA,NA,NA,NA,NA,AUID.11429,NA,NA,NA,NA,NA,NA,NA,unknown3,3L,3,unknown3,3,1A C3,"1A,  3,  &  1J/1K",1A C3,1A/C3 1J/1K,3,unknown3,unknown3,unknown3,unknown3,unknown3
AUID.13585,AHI46085.1|uncultured_bacterium,92.096,291,1.31e-114,Pelobacter carbinolicus,95.876,97,1.5e-64,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Pelobacteraceae;Pelobacter,NA,NA,NA,NA,NA,AUID.21302,NA,NA,NA,NA,NA,NA,NA,unknown1A,1A,1,unknown1A,1A,1A C3,"1A,  3,  &  1J/1K",1A C3,1A/C3 1J/1K,1A,unknown1A,unknown1A,unknown1A,unknown1A,unknown1A
AUID.135893,AFM94453.1|uncultured_microorganism,100,295,3.45e-155,Pseudomonas stutzeri,96.939,98,1.07e-50,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,NA,NA,NA,NA,NA,AUID.130129,NA,NA,NA,NA,NA,NA,NA,unknown1G,1G,1,unknown1G,1G,1G,1G,1B 1J/1K,1B & 1G,1G,unknown1G,unknown1G,unknown1G,unknown1G,unknown1G
AUID.13591,AKV16205.1|uncultured_nitrogen-fixing,96.942,327,2.99e-156,Coraliomargarita akajimensis,86.239,109,6.42e-65,Bacteria;Verrucomicrobia;Opitutae;Puniceicoccales;Puniceicoccaceae;Coraliomargarita,NA,NA,NA,NA,NA,AUID.21308,NA,NA,NA,NA,NA,NA,NA,unknown3,3J,3,unknown3,3,1A C3,"1A,  3,  &  1J/1K",1A C3,1A/C3 1J/1K,3,unknown3,unknown3,unknown3,unknown3,unknown3
AUID.13592,ABI14737.1|uncultured_bacterium,80.665,331,1.22e-65,Desulfovibrio salexigens,89.908,109,1.31e-67,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio,NA,NA,NA,NA,NA,AUID.11430,NA,NA,NA,NA,NA,NA,NA,unknown3,3L,3,unknown3,3,1A C3,"1A,  3,  &  1J/1K",1A C3,1A/C3 1J/1K,3,unknown3,unknown3,unknown3,unknown3,unknown3
AUID.13593,AKS11299.1|uncultured_microorganism,92.988,328,3.98e-135,Desulfurivibrio alkaliphilus,95.413,109,5.49e-71,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfurivibrio,NA,NA,NA,NA,NA,AUID.21309,NA,NA,NA,NA,NA,NA,NA,unknown3,3E,3,unknown3,3,1A C3,"1A,  3,  &  1J/1K",1A C3,1A/C3 1J/1K,3,unknown3,unknown3,unknown3,unknown3,unknown3
AUID.13594,AEI72338.1|uncultured_bacterium,82.875,327,1.5500000000000003e-79,Desulfovibrio magneticus,87.156,109,1.22e-66,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio,NA,NA,NA,NA,NA,AUID.21310,NA,NA,NA,NA,NA,NA,NA,unknown3,3N,3,unknown3,3,1A C3,"1A,  3,  &  1J/1K",1A C3,1A/C3 1J/1K,3,unknown3,unknown3,unknown3,unknown3,unknown3
AUID.13598,ADO24990.1|uncultured_bacterium,83.901,323,5.52e-84,Desulfovibrio aespoeensis,90.826,109,3.74e-69,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio,NA,NA,NA,NA,NA,AUID.11431,NA,NA,NA,NA,NA,NA,NA,unknown3,3I,3,unknown3,3,1A C3,"1A,  3,  &  1J/1K",1A C3,1A/C3 1J/1K,3,unknown3,unknown3,unknown3,unknown3,unknown3
AUID.13599,AAN63084.1|uncultured_bacterium,85.127,316,1.9699999999999998e-88,Desulfovibrio aespoeensis,97.248,109,1.1899999999999998e-73,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio,NA,NA,NA,NA,NA,AUID.11432,NA,NA,NA,NA,NA,1,NA,Desulfovibrio aespoeensis,3E,3,Desulfovibrio aespoeensis,3,1A C3,"1A,  3,  &  1J/1K",1A C3,1A/C3 1J/1K,3,Desulfovibrio aespoeensis,Desulfovibrio aespoeensis,Desulfovibrio aespoeensis,Desulfovibrio aespoeensis,Desulfovibrio aespoeensis
AUID.136,AEI72343.1|uncultured_bacterium,87.342,316,4.18e-100,Desulfovibrio aespoeensis,95.413,109,6.47e-72,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio,NA,NA,NA,NA,NA,AUID.210,NA,NA,NA,NA,NA,NA,NA,unknown3,3E,3,unknown3,3,1A C3,"1A,  3,  &  1J/1K",1A C3,1A/C3 1J/1K,3,unknown3,unknown3,unknown3,unknown3,unknown3
AUID.13600,ARA14475.1|uncultured_bacterium,81.447,318,1.57e-69,Azotobacter vinelandii,87.156,109,8.889999999999999e-68,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Azotobacter,NA,NA,NA,NA,NA,AUID.21314,NA,NA,NA,NA,NA,NA,NA,unknown1P,1P,1,unknown1P,1O/1P,1O/1P,1O/1P,1O/1P,1B & 1G,1O/1P,unknown1P,unknown1P,unknown1P,unknown1P,unknown1P
AUID.136037,BAQ19891.1|uncultured_marine,99.691,324,1.3499999999999998e-169,cyanobacterium UCYN-A,99.074,108,3.29e-76,Bacteria;Cyanobacteria;__c;Chroococcales;__f;__g,HM210392.1,97.222,324,1.4199999999999998e-158,UCYN-A | Uncultured bacterium clone HH1879,AUID.130014,UCYN-A4,76,99.597,9.41e-131,453,1,UCYN-A | Uncultured bacterium clone HH1879;HM210392.1,UCYN-A4,1B,1,UCYN-A4,1B,1B,1B,1B,1B & 1G,UCYN-A4,UCYN-A4,A3-A4,UCYN-A4,A3-A4,A2-A4
AUID.13606,AGI96679.1|uncultured_bacterium,89.329,328,4.09e-115,Geobacter uraniireducens,94.495,109,1.58e-73,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geobacter,NA,NA,NA,NA,NA,AUID.21320,NA,NA,NA,NA,NA,NA,NA,unknown1A,1A,1,unknown1A,1A,1A C3,"1A,  3,  &  1J/1K",1A C3,1A/C3 1J/1K,1A,unknown1A,unknown1A,unknown1A,unknown1A,unknown1A
AUID.13611,ADT90047.1|uncultured_marine,87.5,328,4.15e-105,Desulfovibrio aespoeensis,98.165,109,4.88e-75,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio,NA,NA,NA,NA,NA,AUID.11433,NA,NA,NA,NA,NA,1,NA,Desulfovibrio aespoeensis,3E,3,Desulfovibrio aespoeensis,3,1A C3,"1A,  3,  &  1J/1K",1A C3,1A/C3 1J/1K,3,Desulfovibrio aespoeensis,Desulfovibrio aespoeensis,Desulfovibrio aespoeensis,Desulfovibrio aespoeensis,Desulfovibrio aespoeensis
AUID.13612,ABQ50817.1|uncultured_microorganism,91.437,327,3.12e-126,Pelobacter carbinolicus,96.33,109,6.57e-74,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Pelobacteraceae;Pelobacter,NA,NA,NA,NA,NA,AUID.21325,NA,NA,NA,NA,NA,NA,NA,unknown1A,1A,1,unknown1A,1A,1A C3,"1A,  3,  &  1J/1K",1A C3,1A/C3 1J/1K,1A,unknown1A,unknown1A,unknown1A,unknown1A,unknown1A
AUID.13615,AGG78450.1|uncultured_bacterium,89.297,327,1.47e-114,Pelobacter carbinolicus,93.578,109,2.9799999999999996e-72,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Pelobacteraceae;Pelobacter,NA,NA,NA,NA,NA,AUID.21328,NA,NA,NA,NA,NA,NA,NA,unknown1A,1A,1,unknown1A,1A,1A C3,"1A,  3,  &  1J/1K",1A C3,1A/C3 1J/1K,1A,unknown1A,unknown1A,unknown1A,unknown1A,unknown1A
AUID.13620,ALJ51767.1|uncultured_bacterium,99.085,328,1.7599999999999994e-168,Pelobacter carbinolicus,92.661,109,1.58e-71,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Pelobacteraceae;Pelobacter,NA,NA,NA,NA,NA,AUID.11434,NA,NA,NA,NA,NA,NA,NA,unknown1A,1A,1,unknown1A,1A,1A C3,"1A,  3,  &  1J/1K",1A C3,1A/C3 1J/1K,1A,unknown1A,unknown1A,unknown1A,unknown1A,unknown1A
AUID.13623,ANF06913.1|uncultured_bacterium,90.52,327,3.1399999999999996e-121,Pelobacter carbinolicus,94.495,109,9.29e-73,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Pelobacteraceae;Pelobacter,NA,NA,NA,NA,NA,AUID.21335,NA,NA,NA,NA,NA,NA,NA,unknown1A,1A,1,unknown1A,1A,1A C3,"1A,  3,  &  1J/1K",1A C3,1A/C3 1J/1K,1A,unknown1A,unknown1A,unknown1A,unknown1A,unknown1A
AUID.136243,AAS22068.1|Anabaenopsis_sp.,99.383,324,6.269999999999999e-168,Nostoc sp.,98.148,108,1.03e-75,Bacteria;Cyanobacteria;__c;Nostocales;Nostocaceae;Nostoc,NA,NA,NA,NA,NA,AUID.130015,NA,NA,NA,NA,NA,1,NA,Nostoc sp.,1B,1,Nostoc sp.,1B,1B,1B,1B,1B & 1G,Nostoc sp.,Nostoc sp.,Nostoc sp.,Nostoc sp.,Nostoc sp.,Nostoc sp.
AUID.13628,OAI16879.1|Methylomonas_lenta,88.685,327,3.19e-111,Pseudomonas stutzeri,90.826,109,9.14e-72,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,NA,NA,NA,NA,NA,AUID.21340,NA,NA,NA,NA,NA,NA,NA,unknown1G,1G,1,unknown1G,1G,1G,1G,1B 1J/1K,1B & 1G,1G,unknown1G,unknown1G,unknown1G,unknown1G,unknown1G
AUID.13629,BAN57386.1|uncultured_bacterium,98.78,328,8.19e-167,Tolumonas auensis,100,109,7.720000000000001e-77,Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Tolumonas,NA,NA,NA,NA,NA,AUID.21341,NA,NA,NA,NA,NA,1,NA,Tolumonas auensis,1G,1,Tolumonas auensis,1G,1G,1G,1B 1J/1K,1B & 1G,1G,Tolumonas auensis,Tolumonas auensis,Tolumonas auensis,Tolumonas auensis,Tolumonas auensis
AUID.13631,ANF06906.1|uncultured_bacterium,96.626,326,4.999999999999998e-154,Desulfurivibrio alkaliphilus,94.495,109,1.22e-70,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfurivibrio,NA,NA,NA,NA,NA,AUID.11435,NA,NA,NA,NA,NA,NA,NA,unknown3,3E,3,unknown3,3,1A C3,"1A,  3,  &  1J/1K",1A C3,1A/C3 1J/1K,3,unknown3,unknown3,unknown3,unknown3,unknown3
AUID.13632,ADZ97147.1|uncultured_bacterium,91.049,324,6.69e-123,Burkholderia xenovorans,97.222,108,6.02e-74,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia,NA,NA,NA,NA,NA,AUID.21343,NA,NA,NA,NA,NA,1,NA,Burkholderia xenovorans,1K,1,Burkholderia xenovorans,1J/1K,1J/1K,"1A,  3,  &  1J/1K",1B 1J/1K,1A/C3 1J/1K,1J/1K,Burkholderia xenovorans,Burkholderia xenovorans,Burkholderia xenovorans,Burkholderia xenovorans,Burkholderia xenovorans
AUID.13633,AGG68343.1|Pseudanabaena_sp.,98.471,327,1.37e-164,Magnetococcus sp.,93.519,108,8.790000000000004e-72,Bacteria;Proteobacteria;Alphaproteobacteria;Magnetococcales;Magnetococcaceae;Magnetococcus,NA,NA,NA,NA,NA,AUID.21344,NA,NA,NA,NA,NA,NA,NA,unknown1G,1G,1,unknown1G,1G,1G,1G,1B 1J/1K,1B & 1G,1G,unknown1G,unknown1G,unknown1G,unknown1G,unknown1G
AUID.13636,AGI96679.1|uncultured_bacterium,90.854,328,1.88e-123,Geobacter uraniireducens,97.248,109,2.43e-76,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geobacter,NA,NA,NA,NA,NA,AUID.21347,NA,NA,NA,NA,NA,1,NA,Geobacter uraniireducens,1A,1,Geobacter uraniireducens,1A,1A C3,"1A,  3,  &  1J/1K",1A C3,1A/C3 1J/1K,1A,Geobacter uraniireducens,Geobacter uraniireducens,Geobacter uraniireducens,Geobacter uraniireducens,Geobacter uraniireducens
AUID.13638,ADD48862.1|uncultured_bacterium,93.538,325,8.47e-137,Desulfatibacillum alkenivorans,87.156,109,1.54e-65,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfatibacillum,NA,NA,NA,NA,NA,AUID.21349,NA,NA,NA,NA,NA,NA,NA,unknown3,3Q,3,unknown3,3,1A C3,"1A,  3,  &  1J/1K",1A C3,1A/C3 1J/1K,3,unknown3,unknown3,unknown3,unknown3,unknown3
AUID.13640,AAZ06675.1|uncultured_nitrogen-fixing,97.256,328,1.7899999999999997e-158,Geobacter uraniireducens,96.33,109,4.83e-74,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geobacter,NA,NA,NA,NA,NA,AUID.21352,NA,NA,NA,NA,NA,NA,NA,unknown1A,1A,1,unknown1A,1A,1A C3,"1A,  3,  &  1J/1K",1A C3,1A/C3 1J/1K,1A,unknown1A,unknown1A,unknown1A,unknown1A,unknown1A
AUID.13641,AAO67675.1|uncultured_bacterium,91.437,327,3.12e-126,Desulfovibrio aespoeensis,95.413,109,1.81e-71,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio,NA,NA,NA,NA,NA,AUID.11436,NA,NA,NA,NA,NA,NA,NA,unknown3,3E,3,unknown3,3,1A C3,"1A,  3,  &  1J/1K",1A C3,1A/C3 1J/1K,3,unknown3,unknown3,unknown3,unknown3,unknown3
AUID.13642,ARA10622.1|uncultured_bacterium,84.177,316,1.99e-83,Desulfatibacillum alkenivorans,88.073,109,2.8999999999999997e-67,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfatibacillum,NA,NA,NA,NA,NA,AUID.21353,NA,NA,NA,NA,NA,NA,NA,unknown3,3T,3,unknown3,3,1A C3,"1A,  3,  &  1J/1K",1A C3,1A/C3 1J/1K,3,unknown3,unknown3,unknown3,unknown3,unknown3
AUID.13643,AAO67573.1|uncultured_bacterium,92.355,327,3.0999999999999997e-131,Methylobacter tundripaludum,89.908,109,2.29e-69,Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylobacter,NA,NA,NA,NA,NA,AUID.21354,NA,NA,NA,NA,NA,NA,NA,unknown1P,1P,1,unknown1P,1O/1P,1O/1P,1O/1P,1O/1P,1B & 1G,1O/1P,unknown1P,unknown1P,unknown1P,unknown1P,unknown1P
AUID.136453,AFM94453.1|uncultured_microorganism,99.39,328,3.79e-170,Pseudomonas stutzeri,95.413,109,2.13e-58,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,NA,NA,NA,NA,NA,AUID.130016,NA,NA,NA,NA,NA,NA,NA,unknown1G,1G,1,unknown1G,1G,1G,1G,1B 1J/1K,1B & 1G,1G,unknown1G,unknown1G,unknown1G,unknown1G,unknown1G
AUID.13652,AJY58640.1|uncultured_bacterium,92.988,328,3.98e-135,Pseudomonas stutzeri,95.413,109,1.13e-74,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,NA,NA,NA,NA,NA,AUID.10302,NA,NA,NA,NA,NA,NA,NA,unknown1G,1G,1,unknown1G,1G,1G,1G,1B 1J/1K,1B & 1G,1G,unknown1G,unknown1G,unknown1G,unknown1G,unknown1G
AUID.13664,AAO67643.1|uncultured_bacterium,98.777,327,2.9499999999999996e-166,Chloroherpeton thalassium,88.991,109,5.0999999999999985e-55,Bacteria;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae;Chloroherpeton,NA,NA,NA,NA,NA,AUID.11438,NA,NA,NA,NA,NA,NA,NA,unknown3,3N,3,unknown3,3,1A C3,"1A,  3,  &  1J/1K",1A C3,1A/C3 1J/1K,3,unknown3,unknown3,unknown3,unknown3,unknown3
AUID.13666,ALJ51860.1|uncultured_bacterium,93.146,321,6.6599999999999995e-133,Desulfuromonas acetoxidans,98.165,109,5.6e-76,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae;Desulfuromonas,NA,NA,NA,NA,NA,AUID.21374,NA,NA,NA,NA,NA,1,NA,Desulfuromonas acetoxidans,1A,1,Desulfuromonas acetoxidans,1A,1A C3,"1A,  3,  &  1J/1K",1A C3,1A/C3 1J/1K,1A,Desulfuromonas acetoxidans,Desulfuromonas acetoxidans,Desulfuromonas acetoxidans,Desulfuromonas acetoxidans,Desulfuromonas acetoxidans
