arb_name	genus_species	NCBI nuc	NCBI prot	NCBI GI	nifHCluster	kingdom	phylum	class	order	family	genus
CloBotu4	Clostridium botulinum	CP000727	ABS38312.1	152932813	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloBotu5	Clostridium botulinum	CP000728	ABS42588.1	152937090	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloBotu6	Clostridium botulinum	NC_009697	YP_001383074.1	153933253	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloBotu7	Clostridium botulinum	NC_009698	YP_001386623.1	153936899	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloBotu8	Clostridium botulinum	NC_009699	YP_001390038.1	153941194	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloBotu9	Clostridium botulinum	NZ_ABDO02000001	ZP_02612730.1	168178066	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloBot10	Clostridium botulinum	NZ_ABDP01000010	ZP_02618040.1	168183376	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloBot11	Clostridium botulinum	CP000939	ACA43986.1	169120150	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloBot12	Clostridium botulinum	CP000962	ACA56432.1	169408021	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloBot13	Clostridium botulinum	NC_010516	YP_001780319.1	170754938	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloBot14	Clostridium botulinum	NC_010520	YP_001786042.1	170761032	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloBot15	Clostridium botulinum	ABDO02000001	EDT83439.1	182671465	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloBot16	Clostridium botulinum	ABDP01000010	EDT85514.1	182673553	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloBot17	Clostridium botulinum	CP001581	ACO85541.1	226842875	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloBot18	Clostridium botulinum	NC_012563	YP_002803040.1	226947949	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloBot19	Clostridium botulinum	CP001083	ACQ52713.1	229261680	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloBot20	Clostridium botulinum	NC_012658	YP_002861563.1	237794011	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloBot21	Clostridium botulinum	CP002011	ADF98499.1	295318122	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloButyr	Clostridium butyricum	ACOM01000001	EEP56036.1	237658484	3C	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloButy2	Clostridium butyricum	NZ_ACOM01000001	ZP_04525525.1	237665537	3C	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloCarbo	Clostridium carboxidivorans	ACVI01000009	EET88725.1	255512449	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloCarb2	Clostridium carboxidivorans	ACVI01000009	EET88732.1	255512456	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloCarb3	Clostridium carboxidivorans	NZ_ACVI01000009	ZP_05390851.1	255523887	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloCarb4	Clostridium carboxidivorans	NZ_ACVI01000009	ZP_05390858.1	255523894	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloCarb5	Clostridium carboxidivorans	GG770683	EFG88634.1	296049205	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloCarb6	Clostridium carboxidivorans	GG770683	EFG88641.1	296049212	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloCarb7	Clostridium carboxidivorans	NZ_GG770683	ZP_06854342.1	296185937	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloCarb8	Clostridium carboxidivorans	NZ_GG770683	ZP_06854349.1	296185944	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloCell2	Clostridium cellulovorans	ACPD01000038	EES29132.1	242225795	4C	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloCell3	Clostridium cellulovorans	NZ_ACPD01000038	ZP_04806562.1	242261867	4C	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloCell4	Clostridium cellulovorans	ACPD01000046	EES28798.1	242225444	3C	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloCell5	Clostridium cellulovorans	NZ_ACPD01000046	ZP_04806890.1	242262203	3C	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloCell6	Clostridium cellulovorans	CP002160	ADL52532.1	302578520	3C	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloCell7	Clostridium cellulovorans	CP002160	ADL53173.1	302579161	4C	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloCell8	Clostridium cellulovorans	NC_014393	YP_003844296.1	302875663	3C	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloCell9	Clostridium cellulovorans	NC_014393	YP_003844937.1	302876304	4C	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloCel10	Clostridium cellulovorans	NZ_BABR01000044	ZP_07629485.1	307687039	4C	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloCel11	Clostridium cellulovorans	NZ_BABR01000236	ZP_07630547.1	307688101	3C	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloDiffi	Clostridium difficile	NZ_ABKL02000016	ZP_05400456.1	255655047	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloDiff2	Clostridium difficile	ADNX01000048	EFH06980.1	296260129	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloDiff3	Clostridium difficile	ADVM01000036	EFH15881.1	296430032	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloDiff4	Clostridium difficile	NZ_ADNX01000048	ZP_06892774.1	296451030	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloDiff5	Clostridium difficile	NZ_ADVM01000036	ZP_06903003.1	296879005	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloKluyv	Clostridium kluyveri	CP000673	EDK34473.1	146347937	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloKluy2	Clostridium kluyveri	NC_009706	YP_001395844.1	153955079	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloKluy3	Clostridium kluyveri	AP009049	BAH07226.1	219569242	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloKluy4	Clostridium kluyveri	NC_011837	YP_002472640.1	219855518	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloKluy5	Clostridium kluyveri	CP000673	EDK33075.1	146346539	3C	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloKluy6	Clostridium kluyveri	CP000673	EDK33087.1	146346551	3C	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloKluy7	Clostridium kluyveri	CP000673	EDK35089.1	146348553	3C	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloKluy8	Clostridium kluyveri	NC_009706	YP_001394423.1	153953658	3C	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloKluy9	Clostridium kluyveri	NC_009706	YP_001394435.1	153953670	3C	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloKlu10	Clostridium kluyveri	NC_009706	YP_001396460.1	153955695	3C	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloKlu11	Clostridium kluyveri	AP009049	BAH05988.1	219568004	3C	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloKlu12	Clostridium kluyveri	AP009049	BAH06000.1	219568016	3C	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloKlu13	Clostridium kluyveri	AP009049	BAH07777.1	219569793	3C	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloKlu14	Clostridium kluyveri	NC_011837	YP_002471402.1	219854280	3C	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloKlu15	Clostridium kluyveri	NC_011837	YP_002471414.1	219854292	3C	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloKlu16	Clostridium kluyveri	NC_011837	YP_002473191.1	219856069	3C	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloKlu17	Clostridium kluyveri	CP000673	EDK33790.1	146347254	4G	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloKlu18	Clostridium kluyveri	NC_009706	YP_001395138.1	153954373	4G	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloKlu19	Clostridium kluyveri	AP009049	BAH06672.1	219568688	4G	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloKlu20	Clostridium kluyveri	NC_011837	YP_002472086.1	219854964	2	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloLento	Clostridium lentocellum	ADVF01000062	EFG96608.1	296249193	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Cellulosilyticum
CloLent2	Clostridium lentocellum	NZ_ADVF01000062	ZP_06886060.1	296444038	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Cellulosilyticum
CloLent3	Clostridium lentocellum	ADVF01000044	EFG97044.1	296249647	3A	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Cellulosilyticum
CloLent4	Clostridium lentocellum	NZ_ADVF01000044	ZP_06885628.1	296443588	3A	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Cellulosilyticum
CloLjung	Clostridium ljungdahlii	CP001666	ADK13572.1	300433805	3C	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloLjun2	Clostridium ljungdahlii	CP001666	ADK15363.1	300435596	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloLjun3	Clostridium ljungdahlii	CP001666	ADK15370.1	300435603	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloLjun4	Clostridium ljungdahlii	CP001666	ADK15411.1	300435644	3C	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloLjun5	Clostridium ljungdahlii	NC_014328	YP_003778674.1	300853690	3C	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloLjun6	Clostridium ljungdahlii	NC_014328	YP_003780465.1	300855481	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloLjun7	Clostridium ljungdahlii	NC_014328	YP_003780472.1	300855488	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloLjun8	Clostridium ljungdahlii	NC_014328	YP_003780513.1	300855529	3C	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloPapyr	Clostridium papyrosolvens	ACXX01000015	EEU59346.1	256746223	3A	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloPapy2	Clostridium papyrosolvens	NZ_ACXX01000015	ZP_05495613.1	256754832	3A	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloSporo	Clostridium sporogenes	ABKW02000003	EDU38536.1	187774734	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloSpor2	Clostridium sporogenes	NZ_ABKW02000003	ZP_02994279.1	187777806	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloTherm	Clostridium thermocellum	CP000568	ABN52799.1	125714307	3C	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloTher2	Clostridium thermocellum	NC_009012	YP_001037992.1	125974082	3C	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloTher3	Clostridium thermocellum	ABVG01000002	EDX93952.1	196199124	3C	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloTher4	Clostridium thermocellum	NZ_ABVG01000002	ZP_03150181.1	196251512	3C	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloTher5	Clostridium thermocellum	ACVX01000013	EEU01685.1	255991583	3C	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloTher6	Clostridium thermocellum	NZ_ACVX01000013	ZP_05429422.1	256004442	3C	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloTher7	Clostridium thermocellum	ABVG02000001	EFB39887.1	281409629	3C	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloTher8	Clostridium thermocellum	NZ_ABVG02000001	ZP_06249247.1	281418227	3C	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CopCatus	Coprococcus catus	FP929038	CBK81299.1	291523006	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus
CopCatu2	Coprococcus catus	FP929038	CBK81306.1	291523013	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus
CopComes	Coprococcus comes	ABVR01000032	EEG91327.1	225208973	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus
CopCome2	Coprococcus comes	NZ_ABVR01000032	ZP_03798154.1	226322636	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus
CopCome3	Coprococcus comes	ABVR01000032	EEG91338.1	225208984	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus
CopCome4	Coprococcus comes	NZ_ABVR01000032	ZP_03798165.1	226322647	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus
CorAkaji	Coraliomargarita akajimensis	CP001998	ADE55852.1	293615697	3E	Bacteria	Verrucomicrobia	Opitutae	Puniceicoccales	Puniceicoccaceae	Coraliomargarita
CorAkaj2	Coraliomargarita akajimensis	NC_014008	YP_003550022.1	294056364	3E	Bacteria	Verrucomicrobia	Opitutae	Puniceicoccales	Puniceicoccaceae	Coraliomargarita
CroWats3	Crocosphaera watsonii	AADV02000024	EAM50501.1	67855239	1B	Bacteria	Cyanobacteria	__c	Chroococcales	__f	Crocosphaera
CroWats4	Crocosphaera watsonii	NZ_AADV02000024	ZP_00516386.1	67922889	1B	Bacteria	Cyanobacteria	__c	Chroococcales	__f	Crocosphaera
CupTaiw2	Cupriavidus taiwanensis	CU633751	CAP64045.1	170939030	1K	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus
CupTaiw3	Cupriavidus taiwanensis	NC_010529	YP_001796234.1	188591635	1K	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus
CnbEndos	cyanobacterium endosymbiont	AY728387	AAW57049.1	57864875	1B	Bacteria	Cyanobacteria	__c	__o	__f	__g
CnbUCYNA	cyanobacterium UCYN-A	NC_013771	YP_003421696.1	284929174	1B	Bacteria	Cyanobacteria	__c	Chroococcales	__f	__g
CntSpec5	Cyanothece sp.	AAXW01000004	EAZ92897.1	126622190	1B	Bacteria	Cyanobacteria	__c	Chroococcales	__f	Cyanothece
CntSpec6	Cyanothece sp.	NZ_AAXW01000004	ZP_01727765.1	126656504	1B	Bacteria	Cyanobacteria	__c	Chroococcales	__f	Cyanothece
CntSpec7	Cyanothece sp.	CP000806	ACB49910.1	171696929	1B	Bacteria	Cyanobacteria	__c	Chroococcales	__f	Cyanothece
CntSpec8	Cyanothece sp.	NC_010546	YP_001801976.1	172035475	1B	Bacteria	Cyanobacteria	__c	Chroococcales	__f	Cyanothece
CntSpe10	Cyanothece sp.	AY728386	AAW56988.1	57864813	1B	Bacteria	Cyanobacteria	__c	Chroococcales	__f	Cyanothece
CntSpe11	Cyanothece sp.	ABVE01000002	EDX97588.1	196202771	1B	Bacteria	Cyanobacteria	__c	Chroococcales	__f	Cyanothece
CntSpe12	Cyanothece sp.	ABVI01000011	EDY00640.1	196205841	1B	Bacteria	Cyanobacteria	__c	Chroococcales	__f	Cyanothece
CntSpe13	Cyanothece sp.	NZ_ABVI01000011	ZP_03144922.1	196246202	1B	Bacteria	Cyanobacteria	__c	Chroococcales	__f	Cyanothece
CntSpe14	Cyanothece sp.	NZ_ABVE01000002	ZP_03154129.1	196255591	1B	Bacteria	Cyanobacteria	__c	Chroococcales	__f	Cyanothece
CntSpe15	Cyanothece sp.	CP001287	ACK65831.1	218167094	1B	Bacteria	Cyanobacteria	__c	Chroococcales	__f	Cyanothece
CntSpe16	Cyanothece sp.	CP001291	ACK70547.1	218171814	1B	Bacteria	Cyanobacteria	__c	Chroococcales	__f	Cyanothece
CntSpe17	Cyanothece sp.	NC_011726	YP_002371987.1	218246616	1B	Bacteria	Cyanobacteria	__c	Chroococcales	__f	Cyanothece
CntSpe18	Cyanothece sp.	NC_011729	YP_002377415.1	218439086	1B	Bacteria	Cyanobacteria	__c	Chroococcales	__f	Cyanothece
CntSpe19	Cyanothece sp.	CP001344	ACL44722.1	219864383	1B	Bacteria	Cyanobacteria	__c	Chroococcales	__f	Cyanothece
CntSpe20	Cyanothece sp.	NC_011884	YP_002483083.1	220907772	1B	Bacteria	Cyanobacteria	__c	Chroococcales	__f	Cyanothece
CntSpe21	Cyanothece sp.	CP001701	ACV00712.1	256589825	1B	Bacteria	Cyanobacteria	__c	Chroococcales	__f	Cyanothece
CntSpe22	Cyanothece sp.	NC_013161	YP_003137547.1	257059659	1B	Bacteria	Cyanobacteria	__c	Chroococcales	__f	Cyanothece
CntSpe23	Cyanothece sp.	CP002198	ADN15612.1	306983731	1B	Bacteria	Cyanobacteria	__c	Chroococcales	Cyanothece	__g
CntSpe24	Cyanothece sp.	NC_014501	YP_003888887.1	307153503	1B	Bacteria	Cyanobacteria	__c	Chroococcales	Cyanothece	__g
CylRac72	Cylindrospermopsis raciborskii	ACYA01000064	EFA68738.1	281193766	1B	Bacteria	Cyanobacteria	__c	Nostocales	Nostocaceae	Cylindrospermopsis
CylRac73	Cylindrospermopsis raciborskii	NZ_ACYA01000064	ZP_06309412.1	282901487	1B	Bacteria	Cyanobacteria	__c	Nostocales	Nostocaceae	Cylindrospermopsis
DecAroma	Dechloromonas aromatica	CP000089	AAZ46164.1	71846668	1P	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Dechloromonas
DecArom2	Dechloromonas aromatica	NC_007298	YP_284634.1	71907047	1P	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Dechloromonas
DehEthen	Dehalococcoides ethenogenes	CP000027	AAW39625.1	57224568	3A	Bacteria	Chloroflexi	Dehalococcoidetes	__o	__f	Dehalococcoides
DehEthe2	Dehalococcoides ethenogenes	NC_002936	YP_181872.1	57234120	3A	Bacteria	Chloroflexi	Dehalococcoidetes	__o	__f	Dehalococcoides
DelProte	delta proteobacterium	AAQF01000015	EAT05949.1	93455778	3E	Bacteria	Proteobacteria	Deltaproteobacteria	__o	__f	__g
DelProt2	delta proteobacterium	NZ_AAQF01000015	ZP_01287662.1	94263857	3E	Bacteria	Proteobacteria	Deltaproteobacteria	__o	__f	__g
DelProt3	delta proteobacterium	ADZZ01000138	EFK11139.1	300447381	3H	Bacteria	Proteobacteria	Deltaproteobacteria	__o	__f	__g
DelProt4	delta proteobacterium	NZ_ADZZ01000138	ZP_07199542.1	301058535	3H	Bacteria	Proteobacteria	Deltaproteobacteria	__o	__f	__g
DenAceti	Denitrovibrio acetiphilus	ABTN01000004	EEJ24463.1	227312979	1O	Bacteria	Deferribacteres	__c	Deferribacterales	Deferribacteraceae	Denitrovibrio
DenAcet2	Denitrovibrio acetiphilus	NZ_ABTN01000004	ZP_03905880.1	227422771	1O	Bacteria	Deferribacteres	__c	Deferribacterales	Deferribacteraceae	Denitrovibrio
DenAcet3	Denitrovibrio acetiphilus	CP001968	ADD67822.1	290884122	1O	Bacteria	Deferribacteres	__c	Deferribacterales	Deferribacteraceae	Denitrovibrio
DenAcet4	Denitrovibrio acetiphilus	NC_013943	YP_003503778.1	291286962	1O	Bacteria	Deferribacteres	__c	Deferribacterales	Deferribacteraceae	Denitrovibrio
DlrBaars	Desulfarculus baarsii	CP002085	ADK83816.1	301638494	3E	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfarculales	Desulfarculaceae	Desulfarculus
DlrBaar2	Desulfarculus baarsii	NC_014365	YP_003806410.1	302341881	3E	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfarculales	Desulfarculaceae	Desulfarculus
DscAlken	Desulfatibacillum alkenivorans	CP001322	ACL03220.1	218760754	3H	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfatibacillum
DscAlke2	Desulfatibacillum alkenivorans	NC_011768	YP_002430688.1	218779370	3H	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfatibacillum
DstHafni	Desulfitobacterium hafniense	AP008230	BAE85358.1	89335763	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfitobacterium
DstHafn2	Desulfitobacterium hafniense	NC_007907	YP_519802.1	89896315	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfitobacterium
DstHafn3	Desulfitobacterium hafniense	CP001336	ACL19859.1	219538120	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfitobacterium
DstHafn4	Desulfitobacterium hafniense	NC_011830	YP_002458295.1	219667860	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfitobacterium
DstHafn5	Desulfitobacterium hafniense	NC_011830	YP_002457845.1	219667410	4B	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfitobacterium
DstHafn6	Desulfitobacterium hafniense	AP008230	BAE85800.1	89336205	4B	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfitobacterium
DstHafn7	Desulfitobacterium hafniense	NC_007907	YP_520244.1	89896757	4B	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfitobacterium
DstHafn8	Desulfitobacterium hafniense	AP008230	BAE85651.1	89336056	4A	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfitobacterium
DstHafn9	Desulfitobacterium hafniense	NC_007907	YP_520095.1	89896608	4A	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfitobacterium
DstHaf10	Desulfitobacterium hafniense	AP008230	BAE82151.1	89332556	4A	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfitobacterium
DstHaf11	Desulfitobacterium hafniense	NC_007907	YP_516595.1	89893108	4A	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfitobacterium
DstHaf12	Desulfitobacterium hafniense	CP001336	ACL19109.1	219537370	1C	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfitobacterium
DstHaf13	Desulfitobacterium hafniense	NC_011830	YP_002457545.1	219667110	1C	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfitobacterium
DstHaf14	Desulfitobacterium hafniense	AP008230	BAE86060.1	89336465	1C	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfitobacterium
DstHaf15	Desulfitobacterium hafniense	NC_007907	YP_520504.1	89897017	1C	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfitobacterium
DstHaf16	Desulfitobacterium hafniense	AP008230	BAE85627.1	89336032	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfitobacterium
DstHaf17	Desulfitobacterium hafniense	NC_007907	YP_520071.1	89896584	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfitobacterium
DstHaf18	Desulfitobacterium hafniense	CP001336	ACL19588.1	219537849	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfitobacterium
DstHaf19	Desulfitobacterium hafniense	NC_011830	YP_002458024.1	219667589	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfitobacterium
DstHaf20	Desulfitobacterium hafniense	CP001336	ACL19409.1	219537670	4B	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfitobacterium
DsrAutot	Desulfobacterium autotrophicum	CP001087	ACN13985.1	223690702	4A	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfobacterium
DsrAuto2	Desulfobacterium autotrophicum	NC_012108	YP_002602149.1	224367986	4A	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfobacterium
DsrAuto3	Desulfobacterium autotrophicum	CP001087	ACN14079.1	223690796	3P	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfobacterium
DsrAuto4	Desulfobacterium autotrophicum	NC_012108	YP_002602243.1	224368080	3P	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfobacterium
DsmBacu2	Desulfomicrobium baculatum	ABTP01000003	EEK24542.1	228559888	3E	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfomicrobiaceae	Desulfomicrobium
DsmBacu3	Desulfomicrobium baculatum	NZ_ABTP01000003	ZP_04344086.1	229217768	3E	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfomicrobiaceae	Desulfomicrobium
DsmBacu4	Desulfomicrobium baculatum	CP001629	ACU88952.1	256577816	3E	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfomicrobiaceae	Desulfomicrobium
DsmBacu5	Desulfomicrobium baculatum	NC_013173	YP_003157368.1	256828640	3E	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfomicrobiaceae	Desulfomicrobium
DssThiod	Desulfonatronospira thiodismutans	ACJN01000010	EEG80545.1	225171795	3Q	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfohalobiaceae	Desulfonatronospira
