"SAMPLEID","join","Sample_Name2","seqID","station","cruise","Latitude","Longitude","Size_fraction","Sample.type","type","surface_dna","region","direction","wasSequenced","lat_lon","Depth","Collection_Month","SRA.Study","Run","Assay.Type","AvgSpotLen","Bases","BioProject","BioSample","BioSampleModel","Bytes","Center.Name","Consent","DATASTORE.filetype","DATASTORE.provider","DATASTORE.region","Experiment","geo_loc_name_country","geo_loc_name_country_continent","geo_loc_name","Instrument","Isolation_source","Library.Name","LibraryLayout","LibrarySelection","LibrarySource","Organism","Platform","ReleaseDate","samp_mat_process","Sample.Name","Collection_Date","Time"
"Gradoville15-68514","2",2017,68514,2,2017,25.7682965,158.014165,"whole",NA,"dna",NA,"npsg","north",68514,"25.7682965 N 158.014165 W",120,"2017-05","SRP190508","SRR8844135","AMPLICON",501,13007912,"PRJNA530276","SAMN11317409","Metagenome or environmental",5964670,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631909","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater (>0.2 microns)","68514_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-120m-25.77 N 158.01 W-May-2017-68514","5/29/17","4:27:00"
"Gradoville16-68515","2",2017,68515,2,2017,25.7682965,158.014165,"whole",NA,"dna",NA,"npsg","north",68515,"25.7682965 N 158.014165 W",120,"2017-05","SRP190508","SRR8844134","AMPLICON",501,13611579,"PRJNA530276","SAMN11317410","Metagenome or environmental",6284529,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631910","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater (>0.2 microns)","68515_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-120m-25.77 N 158.01 W-May-2017-68515","5/29/17","4:27:00"
"Hanna3-63711A","3",2016,63711,3,2016,24.41,157.6,"3","Morning","dna","yes","npsg","north",63711,"24.41 N 157.6 W",15,"2016-04","SRP190508","SRR8844095","AMPLICON",601,22712299,"PRJNA530276","SAMN11317378","Metagenome or environmental",12869291,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631949","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater\, large size fraction (>3 microns)","63711_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-15m-24.41 N 157.6 W-Apr-2016-large fraction-63711","4/21/16",NA
"Hanna4-63712A","3",2016,63712,3,2016,24.41,157.6,"0.2","Morning","dna","yes","npsg","north",63712,"24.41 N 157.6 W",15,"2016-04","SRP190508","SRR8844102","AMPLICON",600,20202422,"PRJNA530276","SAMN11317351","Metagenome or environmental",11540632,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631942","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater\, small size fraction (>2 microns\, <3 microns)","63712_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-15m-24.41 N 157.6 W-Apr-2016-small fraction-63712","4/21/16",NA
"Gradoville19-68518","HF3",2017,68518,3,2017,27.84461333,158.001395,"whole",NA,"dna","yes","npsg","north",68518,"27.84461333 N 158.001395 W",15,"2017-05","SRP190508","SRR8844155","AMPLICON",501,25143620,"PRJNA530276","SAMN11317413","Metagenome or environmental",11087037,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631889","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater (>0.2 microns)","68518_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-15m-27.84 N 158 W-May-2017-68518","5/29/17","22:18:00"
"Gradoville20-68519","HF3",2017,68519,3,2017,27.84461333,158.001395,"whole",NA,"dna","yes","npsg","north",68519,"27.84461333 N 158.001395 W",15,"2017-05","SRP190508","SRR8844156","AMPLICON",501,17686293,"PRJNA530276","SAMN11317414","Metagenome or environmental",7899712,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631888","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater (>0.2 microns)","68519_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-15m-27.84 N 158 W-May-2017-68519","5/29/17","22:18:00"
"Gradoville21-68524","3",2017,68524,3,2017,28.47083333,157.9978333,"whole",NA,"dna","yes","npsg","north",68524,"28.47083333 N 157.9978333 W",15,"2017-05","SRP190508","SRR8844151","AMPLICON",501,15908488,"PRJNA530276","SAMN11317415","Metagenome or environmental",7203861,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631893","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater (>0.2 microns)","68524_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-15m-28.47 N 158 W-May-2017-68524","5/30/17","3:34:00"
"Gradoville22-68525","3",2017,68525,3,2017,28.47083333,157.9978333,"whole",NA,"dna","yes","npsg","north",68525,"28.47083333 N 157.9978333 W",15,"2017-05","SRP190508","SRR8844152","AMPLICON",501,15621754,"PRJNA530276","SAMN11317416","Metagenome or environmental",7087699,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631892","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater (>0.2 microns)","68525_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-15m-28.47 N 158 W-May-2017-68525","5/30/17","3:34:00"
"Gradoville81-68522","3",2017,68522,3,2017,28.47083333,157.9978333,"whole",NA,"rna",NA,"npsg","north",68522,"28.47083333 N 157.9978333 W",15,"2017-05","SRP190508","SRR8844149","AMPLICON",501,26493959,"PRJNA530276","SAMN11317471","Metagenome or environmental",11853479,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631895","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater (>0.2 microns)","68522_library","PAIRED","PCR","METATRANSCRIPTOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH RNA-seq","RNA-15m-28.47 N 158 W-May-2017-68522","5/30/17","3:34:00"
"Gradoville82-68523","3",2017,68523,3,2017,28.47083333,157.9978333,"whole",NA,"rna",NA,"npsg","north",68523,"28.47083333 N 157.9978333 W",15,"2017-05","SRP190508","SRR8844150","AMPLICON",501,23572983,"PRJNA530276","SAMN11317472","Metagenome or environmental",10496397,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631894","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater (>0.2 microns)","68523_library","PAIRED","PCR","METATRANSCRIPTOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH RNA-seq","RNA-15m-28.47 N 158 W-May-2017-68523","5/30/17","3:34:00"
"Hanna38-63753A","4",2016,63753,4,2016,28.141,158,"3","Profile","dna",NA,"npsg","north",63753,"28.141 N 158 W",5,"2016-04","SRP190508","SRR8844066","AMPLICON",601,38933075,"PRJNA530276","SAMN11317385","Metagenome or environmental",22693195,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631978","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater\, large size fraction (>3 microns)","63753_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-5m-28.08 N 158 W-Apr-2016-large fraction-63753","4/22/16",NA
"Hanna39-63754A","4",2016,63754,4,2016,28.141,158,"0.2","Profile","dna",NA,"npsg","north",63754,"28.141 N 158 W",5,"2016-04","SRP190508","SRR8844067","AMPLICON",600,29134061,"PRJNA530276","SAMN11317357","Metagenome or environmental",16657800,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631977","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater\, small size fraction (>2 microns\, <3 microns)","63754_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-5m-28.08 N 158 W-Apr-2016-small fraction-63754","4/22/16",NA
"Hanna36-63749A","4",2016,63749,4,2016,28.141,158,"3","Profile","dna","yes","npsg","north",63749,"28.141 N 158 W",15,"2016-04","SRP190508","SRR8844174","AMPLICON",601,37385938,"PRJNA530276","SAMN11317384","Metagenome or environmental",22621388,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631870","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater\, large size fraction (>3 microns)","63749_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-15m-28.08 N 158 W-Apr-2016-large fraction-63749","4/22/16",NA
"Hanna37-63750A","4",2016,63750,4,2016,28.141,158,"0.2","Profile","dna","yes","npsg","north",63750,"28.141 N 158 W",15,"2016-04","SRP190508","SRR8844173","AMPLICON",600,34826735,"PRJNA530276","SAMN11317356","Metagenome or environmental",20357589,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631871","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater\, small size fraction (>2 microns\, <3 microns)","63750_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-15m-28.08 N 158 W-Apr-2016-small fraction-63750","4/22/16",NA
"Hanna5-63727A","4",2016,63727,4,2016,28.141,158,"3","Morning","dna","yes","npsg","north",63727,"28.141 N 158 W",15,"2016-04","SRP190508","SRR8844103","AMPLICON",600,29434238,"PRJNA530276","SAMN11317379","Metagenome or environmental",17132458,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631941","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater\, large size fraction (>3 microns)","63727_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-15m-28.08 N 158 W-Apr-2016-large fraction-63727","4/22/16",NA
"Hanna6-63728A","4",2016,63728,4,2016,28.141,158,"0.2","Morning","dna","yes","npsg","north",63728,"28.141 N 158 W",15,"2016-04","SRP190508","SRR8844182","AMPLICON",600,31456944,"PRJNA530276","SAMN11317352","Metagenome or environmental",18042295,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631862","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater\, small size fraction (>2 microns\, <3 microns)","63728_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-15m-28.08 N 158 W-Apr-2016-small fraction-63728","4/22/16",NA
"Hanna34-63745A","4",2016,63745,4,2016,28.141,158,"3","Profile","dna",NA,"npsg","north",63745,"28.141 N 158 W",45,"2016-04","SRP190508","SRR8844176","AMPLICON",601,42329243,"PRJNA530276","SAMN11317383","Metagenome or environmental",26022803,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631868","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater\, large size fraction (>3 microns)","63745_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-45m-28.08 N 158 W-Apr-2016-large fraction-63745","4/22/16",NA
"Hanna35-63746A","4",2016,63746,4,2016,28.141,158,"0.2","Profile","dna",NA,"npsg","north",63746,"28.141 N 158 W",45,"2016-04","SRP190508","SRR8844175","AMPLICON",601,34394049,"PRJNA530276","SAMN11317355","Metagenome or environmental",20932726,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631869","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater\, small size fraction (>2 microns\, <3 microns)","63746_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-45m-28.08 N 158 W-Apr-2016-small fraction-63746","4/22/16",NA
"Hanna32-63743A","4",2016,63743,4,2016,28.141,158,"3","Profile","dna",NA,"npsg","north",63743,"28.141 N 158 W",60,"2016-04","SRP190508","SRR8844178","AMPLICON",601,42609753,"PRJNA530276","SAMN11317382","Metagenome or environmental",25624253,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631866","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater\, large size fraction (>3 microns)","63743_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-60m-28.08 N 158 W-Apr-2016-large fraction-63743","4/22/16",NA
"Hanna33-63744A","4",2016,63744,4,2016,28.141,158,"0.2","Profile","dna",NA,"npsg","north",63744,"28.141 N 158 W",60,"2016-04","SRP190508","SRR8844177","AMPLICON",601,44107464,"PRJNA530276","SAMN11317354","Metagenome or environmental",26238924,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631867","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater\, small size fraction (>2 microns\, <3 microns)","63744_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-60m-28.08 N 158 W-Apr-2016-small fraction-63744","4/22/16",NA
"Hanna31-63741A","4",2016,63741,4,2016,28.141,158,"3","Profile","dna",NA,"npsg","north",63741,"28.141 N 158 W",75,"2016-04","SRP190508","SRR8844179","AMPLICON",601,34745597,"PRJNA530276","SAMN11317381","Metagenome or environmental",21341404,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631865","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater\, large size fraction (>3 microns)","63741_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-75m-28.08 N 158 W-Apr-2016-large fraction-63741","4/22/16",NA
"Hanna29-63737A","4",2016,63737,4,2016,29.27,157.59,"3","Profile","dna",NA,"npsg","north",63737,"29.27 N 157.59 W",90,"2016-04","SRP190508","SRR8844181","AMPLICON",601,34464735,"PRJNA530276","SAMN11317380","Metagenome or environmental",21248075,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631863","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater\, large size fraction (>3 microns)","63737_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-90m-28.08 N 158 W-Apr-2016-large fraction-63737","4/22/16",NA
"Hanna30-63738A","4",2016,63738,4,2016,28.141,158,"0.2","Profile","dna",NA,"npsg","north",63738,"28.141 N 158 W",90,"2016-04","SRP190508","SRR8844180","AMPLICON",601,29838033,"PRJNA530276","SAMN11317353","Metagenome or environmental",18535587,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631864","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater\, small size fraction (>2 microns\, <3 microns)","63738_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-90m-28.08 N 158 W-Apr-2016-small fraction-63738","4/22/16",NA
"Gradoville23-68530","HF4",2017,68530,4,2017,29.228145,157.999715,"whole",NA,"dna","yes","npsg","north",68530,"29.228145 N 157.999715 W",15,"2017-05","SRP190508","SRR8844147","AMPLICON",501,16809570,"PRJNA530276","SAMN11317417","Metagenome or environmental",7619588,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631897","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater (>0.2 microns)","68530_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-15m-29.23 N 158 W-May-2017-68530","5/30/17","9:57:00"
"Gradoville24-68531","HF4",2017,68531,4,2017,29.228145,157.999715,"whole",NA,"dna","yes","npsg","north",68531,"29.228145 N 157.999715 W",15,"2017-05","SRP190508","SRR8844148","AMPLICON",501,14369096,"PRJNA530276","SAMN11317418","Metagenome or environmental",6468067,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631896","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater (>0.2 microns)","68531_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-15m-29.23 N 158 W-May-2017-68531","5/30/17","9:57:00"
"Gradoville29-68543","4",2017,68543,4,2017,32.25811,157.99977,"whole",NA,"dna","yes","npsg","north",68543,"32.25811 N 157.99977 W",15,"2017-05","SRP190508","SRR8844121","AMPLICON",501,19719968,"PRJNA530276","SAMN11317423","Metagenome or environmental",8773332,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631923","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater (>0.2 microns)","68543_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-15m-32.26 N 158 W-May-2017-68543","5/31/17","3:42:00"
"Gradoville30-68544","4",2017,68544,4,2017,32.25811,157.99977,"whole",NA,"dna","yes","npsg","north",68544,"32.25811 N 157.99977 W",15,"2017-05","SRP190508","SRR8844120","AMPLICON",501,19670149,"PRJNA530276","SAMN11317424","Metagenome or environmental",8665434,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631924","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater (>0.2 microns)","68544_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-15m-32.26 N 158 W-May-2017-68544","5/31/17","3:42:00"
"Gradoville83-68541","4",2017,68541,4,2017,32.25811,157.99977,"whole",NA,"rna",NA,"npsg","north",68541,"32.25811 N 157.99977 W",15,"2017-05","SRP190508","SRR8844119","AMPLICON",501,16923728,"PRJNA530276","SAMN11317473","Metagenome or environmental",7468073,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631925","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater (>0.2 microns)","68541_library","PAIRED","PCR","METATRANSCRIPTOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH RNA-seq","RNA-15m-32.26 N 158 W-May-2017-68541","5/31/17","3:42:00"
"Gradoville84-68542","4",2017,68542,4,2017,32.25811,157.99977,"whole",NA,"rna",NA,"npsg","north",68542,"32.25811 N 157.99977 W",15,"2017-05","SRP190508","SRR8844118","AMPLICON",501,20268947,"PRJNA530276","SAMN11317474","Metagenome or environmental",8991808,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631926","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater (>0.2 microns)","68542_library","PAIRED","PCR","METATRANSCRIPTOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH RNA-seq","RNA-15m-32.26 N 158 W-May-2017-68542","5/31/17","3:42:00"
"Hanna7-63757A","5",2016,63757,5,2016,29.42,158,"3","Morning","dna","yes","npsg","north",63757,"29.42 N 158 W",15,"2016-05","SRP190508","SRR8844068","AMPLICON",601,27598763,"PRJNA530276","SAMN11317386","Metagenome or environmental",16674910,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631976","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater\, large size fraction (>3 microns)","63757_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-15m-29.27 N 157.59 W-Apr-2016-large fraction-63757","4/23/16",NA
"Hanna8-63758A","5",2016,63758,5,2016,29.27,157.59,"0.2","Morning","dna","yes","npsg","north",63758,"29.27 N 157.59 W",15,"2016-04","SRP190508","SRR8844069","AMPLICON",600,25491032,"PRJNA530276","SAMN11317358","Metagenome or environmental",14945643,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631975","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater\, small size fraction (>2 microns\, <3 microns)","63758_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-15m-29.27 N 157.59 W-Apr-2016-small fraction-63758","4/23/16",NA
"Gradoville25-68535","HF5",2017,68535,5,2017,30.02042333,157.9995867,"whole",NA,"dna","yes","npsg","north",68535,"30.02042333 N 157.9995867 W",15,"2017-05","SRP190508","SRR8844123","AMPLICON",501,18788507,"PRJNA530276","SAMN11317419","Metagenome or environmental",8481315,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631921","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater (>0.2 microns)","68535_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-15m-30.02 N 158 W-May-2017-68535","5/30/17","14:25:00"
"Gradoville26-68536","HF5",2017,68536,5,2017,30.02042333,157.9995867,"whole",NA,"dna","yes","npsg","north",68536,"30.02042333 N 157.9995867 W",15,"2017-05","SRP190508","SRR8844122","AMPLICON",501,19275455,"PRJNA530276","SAMN11317420","Metagenome or environmental",8610377,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631922","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater (>0.2 microns)","68536_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-15m-30.02 N 158 W-May-2017-68536","5/30/17","14:25:00"
"Gradoville38-68561","5",2017,68561,5,2017,36.06198167,158.0005583,"whole",NA,"dna","yes","transition","north",68561,"36.06198167 N 158.0005583 W",15,"2017-06","SRP190508","SRR8844140","AMPLICON",501,22840606,"PRJNA530276","SAMN11317431","Metagenome or environmental",12448832,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631904","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater (>0.2 microns)","68561_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-15m-36.06 N 158 W-Jun-2017-68561","6/1/17","3:30:00"
"Gradoville39-68562","5",2017,68562,5,2017,36.06198167,158.0005583,"whole",NA,"dna","yes","transition","north",NA,"36.06198167 N 158.0005583 W",15,"2017-06","SRP190508",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"METAGENOMIC",NA,NA,NA,NA,NA,"6/1/17","3:30:00"
"Gradoville27-68537","HF6",2017,68537,6,2017,30.92716833,158.0026367,"whole",NA,"dna","yes","npsg","north",68537,"30.92716833 N 158.0026367 W",15,"2017-05","SRP190508","SRR8844125","AMPLICON",501,13695027,"PRJNA530276","SAMN11317421","Metagenome or environmental",6144481,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631919","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater (>0.2 microns)","68537_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-15m-30.93 N 158 W-May-2017-68537","5/30/17","19:28:00"
"Gradoville28-68538","HF6",2017,68538,6,2017,30.92716833,158.0026367,"whole",NA,"dna","yes","npsg","north",68538,"30.92716833 N 158.0026367 W",15,"2017-05","SRP190508","SRR8844124","AMPLICON",501,20456612,"PRJNA530276","SAMN11317422","Metagenome or environmental",9108148,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631920","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater (>0.2 microns)","68538_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-15m-30.93 N 158 W-May-2017-68538","5/30/17","19:28:00"
