AUID,ARB2017.id,ARB2017.pctId,ARB2017.alen,ARB2017.evalue,Genomes879.id,Genomes879.pctId,Genomes879.alen,Genomes879.evalue,Genomes879.tax,MarineDiazo.subject,MarineDiazo.pid,MarineDiazo.alen,MarineDiazo.evalue,MarineDiazo.description,cluster,subcluster,AUID_updt,AUID_OLD,Genoes879.pid_flag,MarineDiazo.ID,consensus_id
AUID.15920,AFD03772.1|uncultured_bacterium,93.252,326.0,1.11e-135,Desulfovibrio aespoeensis,94.495,109.0,2.1e-70,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio,,,,,,3,3E,AUID.15920,AUID.10329,,,unknown3
AUID.15921,AKP56063.1|uncultured_nitrogen-fixing,90.52,327.0,3.14e-121,Desulfovibrio aespoeensis,94.495,109.0,2.1e-70,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio,,,,,,3,3E,AUID.15921,AUID.11676,,,unknown3
AUID.15924,ABH02960.1|uncultured_marine,95.37,324.0,3e-146,Rhodospirillum rubrum,89.815,108.0,6.92e-49,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Rhodospirillum,,,,,,2,2C,AUID.15924,AUID.23374,,,unknown2C
AUID.15930,AKV16140.1|uncultured_nitrogen-fixing,89.329,328.0,4.09e-115,Desulfovibrio magneticus,87.156,109.0,6.27e-56,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio,,,,,,3,3N,AUID.15930,AUID.11677,,,unknown3
AUID.159372,AHI71634.1|uncultured_bacterium,91.746,315.0,6.75e-123,Pseudomonas stutzeri,98.165,109.0,1.86e-76,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,,,,,,1,1G,AUID.159372,AUID.144787,1.0,,Pseudomonas stutzeri
AUID.15938,ACV74356.1|uncultured_organism,90.741,324.0,3.14e-121,Geobacter bemidjiensis,97.248,109.0,4.19e-74,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geobacter,,,,,,1,1A,AUID.15938,AUID.23387,1.0,,Geobacter bemidjiensis
AUID.15941,AKS11187.1|uncultured_microorganism,90.854,328.0,1.88e-123,Desulfovibrio aespoeensis,95.413,109.0,7.29e-71,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio,,,,,,3,3E,AUID.15941,AUID.11678,,,unknown3
AUID.159457,KJV07379.1|Methylococcaceae_bacterium,89.408,321.0,6.85e-113,Methylobacter tundripaludum,95.413,109.0,2.4e-73,Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylobacter,,,,,,1,1O,AUID.159457,AUID.144624,,,unknown1O
AUID.15947,OGU17931.1|Geobacteraceae_bacterium,94.207,328.0,8.49e-142,Geobacter uraniireducens,97.248,109.0,9.31e-76,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geobacter,,,,,,1,1A,AUID.15947,AUID.23395,1.0,,Geobacter uraniireducens
AUID.15951,ADO25023.1|uncultured_bacterium,81.288,326.0,1.21e-70,Desulfovibrio vulgaris,88.073,109.0,3.72e-68,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio,,,,,,3,3I,AUID.15951,AUID.11679,,,unknown3
AUID.159641,AHI71634.1|uncultured_bacterium,91.746,315.0,6.75e-123,Pseudomonas stutzeri,97.248,109.0,1.68e-75,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,,,,,,1,1G,AUID.159641,AUID.144789,1.0,,Pseudomonas stutzeri
AUID.15971,ADO24990.1|uncultured_bacterium,84.211,323.0,1.1900000000000001e-85,Desulfovibrio aespoeensis,90.826,109.0,4.26e-69,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio,,,,,,3,3T,AUID.15971,AUID.11681,,,unknown3
AUID.15979,AHI71634.1|uncultured_bacterium,85.312,320.0,1.18e-90,Pseudomonas stutzeri,98.165,109.0,1.86e-76,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,,,,,,1,1G,AUID.15979,AUID.11682,1.0,,Pseudomonas stutzeri
AUID.15989,ABF61458.1|uncultured_microorganism,90.491,326.0,1.13e-120,Opitutaceae bacterium,86.239,109.0,1.41e-65,Bacteria;Verrucomicrobia;Opitutae;Opitutales;Opitutaceae;__g,,,,,,3,3T,AUID.15989,AUID.11683,,,unknown3
AUID.1599,SDF85774.1|Desulfovibrio_legallii,91.089,303.0,1.36e-114,Clostridium papyrosolvens,93.069,101.0,1.16e-63,Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium,,,,,,2,2D,AUID.1599,AUID.1206,,,unknown2D
AUID.16,ABV00663.1|uncultured_bacterium,96.942,327.0,2.99e-156,Pseudomonas stutzeri,98.165,109.0,8.27e-76,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,,,,,,1,1G,AUID.16,AUID.11,1.0,,Pseudomonas stutzeri
AUID.160,AEI72343.1|uncultured_bacterium,88.328,317.0,1.15e-105,Desulfovibrio aespoeensis,95.413,109.0,6.47e-72,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio,,,,,,3,3E,AUID.160,AUID.27,,,unknown3
AUID.16002,ANJ77603.1|uncultured_bacterium,84.112,321.0,1.54e-84,Desulfovibrio aespoeensis,87.156,109.0,1.7000000000000001e-65,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio,,,,,,3,3J,AUID.16002,AUID.23444,,,unknown3
AUID.16005,AHY23076.1|uncultured_marine,85.366,328.0,7.04e-93,Teredinibacter turnerae,95.413,109.0,3.49e-74,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadalesgeneraincertaesedis;Teredinibacter,,,,,,1,1G,AUID.16005,AUID.23446,,,unknown1G
AUID.16007,AGW50751.1|gamma_proteobacterium,81.846,325.0,2.01e-73,Desulfatibacillum alkenivorans,92.661,109.0,8.51e-70,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfatibacillum,,,,,,3,3H,AUID.16007,AUID.23448,,,unknown3
AUID.16008,ADO25023.1|uncultured_bacterium,82.209,326.0,1.1999999999999999e-75,Desulfovibrio vulgaris,88.073,109.0,3.72e-68,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio,,,,,,3,3I,AUID.16008,AUID.10330,,,unknown3
AUID.16009,AGO36419.1|uncultured_bacterium,89.815,324.0,3.16e-116,Geobacter lovleyi,83.486,109.0,6.590000000000002e-57,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geobacter,,,,,,,nan,AUID.16009,AUID.11686,,,unknownnan
AUID.16014,ADT90053.1|uncultured_marine,79.43,316.0,2.66e-57,Chloroherpeton thalassium,87.156,109.0,9.42e-67,Bacteria;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae;Chloroherpeton,,,,,,3,3N,AUID.16014,AUID.23453,,,unknown3
AUID.160154,SCQ51305.1|uncultured_bacterium,99.692,325.0,3.75e-170,Trichodesmium erythraeum,100.0,108.0,2.37e-76,Bacteria;Cyanobacteria;Oscillatoriophycideae;Oscillatoriales;Microcoleaceae;Trichodesmium,AF395130.1,99.692,325.0,1.8e-172,Katagnymene spiralis nitrogenase| AF395130.1,1,1B,AUID.160154,AUID.144795,1.0,Katagnymene spiralis nitrogenase| AF395130.1;AF395130.1,Katagnymene spiralis nitrogenase| AF395130.1;AF395130.1
AUID.16016,ADO24961.1|uncultured_bacterium,79.683,315.0,1.59e-59,delta proteobacterium,94.495,109.0,4.98e-72,Bacteria;Proteobacteria;Deltaproteobacteria;__o;__f;__g,,,,,,3,3E,AUID.16016,AUID.11687,,,unknown3
AUID.16022,AHN50925.1|uncultured_bacterium,83.841,328.0,4.27e-85,Desulfatibacillum alkenivorans,95.413,109.0,9.51e-73,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfatibacillum,,,,,,3,3H,AUID.16022,AUID.23460,,,unknown3
AUID.16024,AKV16140.1|uncultured_nitrogen-fixing,90.549,328.0,8.73e-122,Desulfovibrio magneticus,87.156,109.0,6.27e-56,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio,,,,,,3,3N,AUID.16024,AUID.11688,,,unknown3
AUID.160250,SCQ52461.1|uncultured_bacterium,99.692,325.0,3.75e-170,Trichodesmium erythraeum,99.074,108.0,1.15e-75,Bacteria;Cyanobacteria;Oscillatoriophycideae;Oscillatoriales;Microcoleaceae;Trichodesmium,AY528677.1,99.691,324.0,6.49e-172,Tricho | Uncultured marine bacterium clone HT264A104,1,1B,AUID.160250,AUID.144796,1.0,Tricho | Uncultured marine bacterium clone HT264A104;AY528677.1,Tricho | Uncultured marine bacterium clone HT264A104;AY528677.1
AUID.16030,ACX68599.1|uncultured_bacterium,85.804,317.0,2.5299999999999998e-92,Desulfatibacillum alkenivorans,91.743,109.0,4e-69,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfatibacillum,,,,,,3,3I,AUID.16030,AUID.11689,,,unknown3
AUID.16031,AFO66632.1|uncultured_bacterium,86.154,325.0,3.25e-96,Teredinibacter turnerae,99.083,109.0,5.66e-76,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadalesgeneraincertaesedis;Teredinibacter,,,,,,1,1G,AUID.16031,AUID.23467,1.0,,Teredinibacter turnerae
AUID.16033,AAD17884.1|uncultured_nitrogen-fixing,87.541,305.0,2.49e-97,Pseudomonas stutzeri,80.734,109.0,4.66e-61,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,,,,,,1,1E,AUID.16033,AUID.23469,,,unknown1E
AUID.16034,AGS46510.1|uncultured_bacterium,91.131,327.0,1.45e-124,Dechloromonas aromatica,91.743,109.0,3.52e-70,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Dechloromonas,,,,,,1,1O,AUID.16034,AUID.23470,,,unknown1O
AUID.160344,BAN57386.1|uncultured_bacterium,99.39,328.0,3.79e-170,Tolumonas auensis,100.0,109.0,7.720000000000001e-77,Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Tolumonas,,,,,,1,1G,AUID.160344,AUID.144625,1.0,,Tolumonas auensis
AUID.160345,SCQ52675.1|uncultured_bacterium,99.385,325.0,1.74e-168,cyanobacterium UCYN-A,99.074,108.0,9.9e-76,Bacteria;Cyanobacteria;__c;Chroococcales;__f;__g,AF059627.1,99.383,324.0,3.02e-170,UCYN-A | Unidentified marine eubacterium clone HT1150,1,1B,AUID.160345,AUID.144797,1.0,UCYN-A | Unidentified marine eubacterium clone HT1150;AF059627.1,UCYN-A | Unidentified marine eubacterium clone HT1150;AF059627.1
AUID.16040,SME97199.1|Desulfovibrio_sp.,83.077,325.0,1.5500000000000003e-79,delta proteobacterium,96.33,109.0,6.55e-74,Bacteria;Proteobacteria;Deltaproteobacteria;__o;__f;__g,,,,,,3,3E,AUID.16040,AUID.23475,,,unknown3
AUID.16044,ADM51629.1|uncultured_bacterium,82.812,320.0,1.1999999999999999e-75,Azotobacter vinelandii,88.073,109.0,1.87e-61,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Azotobacter,,,,,,1,1P,AUID.16044,AUID.23479,,,unknown1P
AUID.16045,AKU75791.1|uncultured_marine,86.85,327.0,3.23e-101,Pelobacter carbinolicus,94.495,109.0,9.29e-73,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Pelobacteraceae;Pelobacter,,,,,,1,1A,AUID.16045,AUID.11691,,,unknown1A
AUID.16048,AKP55777.1|uncultured_nitrogen-fixing,91.131,327.0,1.45e-124,Desulfovibrio vulgaris,87.156,109.0,2e-56,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio,,,,,,3,3N,AUID.16048,AUID.23482,,,unknown3
AUID.16050,AEI72331.1|uncultured_bacterium,94.785,326.0,5.0700000000000006e-144,Desulfatibacillum alkenivorans,88.073,109.0,1.66e-66,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfatibacillum,,,,,,3,3B,AUID.16050,AUID.11692,,,unknown3
AUID.16053,ACN77122.1|uncultured_bacterium,88.415,328.0,4.120000000000001e-110,Desulfovibrio vulgaris,87.156,109.0,2.9300000000000003e-66,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio,,,,,,3,3K,AUID.16053,AUID.23486,,,unknown3
AUID.16057,ADO25061.1|uncultured_bacterium,90.214,327.0,1.46e-119,Desulfurivibrio alkaliphilus,95.413,109.0,2.45e-71,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfurivibrio,,,,,,3,3E,AUID.16057,AUID.23490,,,unknown3
AUID.16062,AKS11377.1|uncultured_microorganism,86.262,313.0,7.04e-93,Desulfovibrio aespoeensis,96.33,109.0,1.64e-72,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio,,,,,,3,3E,AUID.16062,AUID.23494,,,unknown3
AUID.160622,AGT56318.1|uncultured_marine,99.691,324.0,1.35e-169,cyanobacterium UCYN-A,99.074,108.0,4.27e-75,Bacteria;Cyanobacteria;__c;Chroococcales;__f;__g,HM210392.1,99.691,324.0,6.49e-172,UCYN-A | Uncultured bacterium clone HH1879,1,1B,AUID.160622,AUID.144798,1.0,UCYN-A | Uncultured bacterium clone HH1879;HM210392.1,UCYN-A | Uncultured bacterium clone HH1879;HM210392.1
AUID.16064,AFD03696.1|uncultured_bacterium,99.661,295.0,1.6e-153,Pelobacter carbinolicus,96.939,98.0,2.93e-65,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Pelobacteraceae;Pelobacter,,,,,,1,1A,AUID.16064,AUID.23496,,,unknown1A
AUID.16065,AKS11785.1|uncultured_microorganism,92.683,328.0,1.85e-133,Desulfuromonas acetoxidans,98.165,109.0,5.6e-76,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae;Desulfuromonas,,,,,,1,1A,AUID.16065,AUID.11694,1.0,,Desulfuromonas acetoxidans
AUID.16066,AHA49954.1|uncultured_bacterium,96.271,295.0,7.63e-137,Pelobacter carbinolicus,93.878,98.0,1.05e-63,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Pelobacteraceae;Pelobacter,,,,,,1,1A,AUID.16066,AUID.23497,,,unknown1A
AUID.16070,ADD49330.1|uncultured_bacterium,100.0,328.0,1.75e-173,Pelobacter carbinolicus,95.413,109.0,2.8e-73,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Pelobacteraceae;Pelobacter,,,,,,1,1A,AUID.16070,AUID.10331,,,unknown1A
AUID.16071,ABG80670.1|uncultured_soil,94.207,328.0,8.49e-142,Geobacter sp.,98.165,109.0,1.07e-75,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geobacter,,,,,,1,1A,AUID.16071,AUID.11695,1.0,,Geobacter sp.
AUID.16079,ADT90056.1|uncultured_marine,89.97,329.0,1.8900000000000001e-118,Teredinibacter turnerae,92.661,109.0,3.21e-71,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadalesgeneraincertaesedis;Teredinibacter,,,,,,1,1G,AUID.16079,AUID.11696,,,unknown1G
AUID.160795,ADO20602.1|uncultured_bacterium,99.695,328.0,8.14e-172,Teredinibacter turnerae,95.413,109.0,3.23e-74,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadalesgeneraincertaesedis;Teredinibacter,P8_Loesch,99.695,328.0,3.92e-174,Gamma 4|P8-Loescher,1,1G,AUID.160795,AUID.144800,,Gamma 4|P8-Loescher;P8_Loesch,Gamma 4|P8-Loescher;P8_Loesch
AUID.16083,ALJ51764.1|uncultured_bacterium,89.058,329.0,1.9e-113,Pelobacter carbinolicus,93.578,109.0,4.05e-72,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Pelobacteraceae;Pelobacter,,,,,,1,1A,AUID.16083,AUID.23511,,,unknown1A
AUID.1609,OCX94873.1|Pseudomonas_sp.,100.0,310.0,1.67e-163,Azotobacter vinelandii,98.058,103.0,3.42e-71,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Azotobacter,BAL361,100.0,310.0,8.04e-166,BAL354|OTU0001-Pseu.*,1,1G,AUID.1609,AUID.1207,1.0,BAL354|OTU0001-Pseu.*;BAL361,BAL354|OTU0001-Pseu.*;BAL361
AUID.16103,AKV16091.1|uncultured_nitrogen-fixing,84.877,324.0,1.52e-89,Desulfovibrio aespoeensis,90.826,109.0,4.26e-69,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio,,,,,,3,3T,AUID.16103,AUID.23529,,,unknown3
AUID.161068,AHI71634.1|uncultured_bacterium,91.746,315.0,6.75e-123,Pseudomonas stutzeri,98.165,109.0,1.86e-76,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,,,,,,1,1G,AUID.161068,AUID.144801,1.0,,Pseudomonas stutzeri
AUID.16109,ABI14737.1|uncultured_bacterium,86.503,326.0,5.41e-99,Verrucomicrobiae bacterium,94.495,109.0,9.850000000000001e-73,Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;__f;__g,,,,,,3,3E,AUID.16109,AUID.23534,,,unknown3
AUID.16112,ABQ50817.1|uncultured_microorganism,94.207,328.0,8.49e-142,Pelobacter carbinolicus,96.33,109.0,6.57e-74,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Pelobacteraceae;Pelobacter,,,,,,1,1A,AUID.16112,AUID.11700,,,unknown1A
AUID.16118,AAL83728.1|uncultured_nitrogen-fixing,87.926,323.0,1.15e-105,Desulfatibacillum alkenivorans,89.908,109.0,3.7699999999999996e-67,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfatibacillum,,,,,,3,3H,AUID.16118,AUID.23542,,,unknown3
AUID.16122,ALN98305.1|uncultured_bacterium,90.491,326.0,1.13e-120,Azotobacter vinelandii,93.578,109.0,4.3e-72,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Azotobacter,,,,,,1,1G,AUID.16122,AUID.11701,,,unknown1G
AUID.16124,ANF06906.1|uncultured_bacterium,91.437,327.0,3.12e-126,Desulfovibrio aespoeensis,95.413,109.0,4e-71,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio,,,,,,3,3E,AUID.16124,AUID.23547,,,unknown3
AUID.161250,AHY23083.1|uncultured_marine,81.402,328.0,3.37e-71,Teredinibacter turnerae,93.578,109.0,4.0000000000000004e-72,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadalesgeneraincertaesedis;Teredinibacter,,,,,,1,1G,AUID.161250,AUID.144802,,,unknown1G
AUID.16129,BAQ19901.1|uncultured_marine,93.827,324.0,6.539999999999999e-138,Burkholderia sp.,99.074,108.0,1.02e-75,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia,,,,,,1,1K,AUID.16129,AUID.11702,1.0,,Burkholderia sp.
AUID.16131,AAF61008.1|unidentified_nitrogen-fixing,80.186,323.0,7.35e-63,Desulfovibrio aespoeensis,87.156,109.0,1.96e-65,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio,,,,,,3,3J,AUID.16131,AUID.23553,,,unknown3
AUID.16146,AFD03611.1|uncultured_bacterium,100.0,327.0,6.29e-173,Pelobacter carbinolicus,95.413,109.0,2.8e-73,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Pelobacteraceae;Pelobacter,,,,,,1,1A,AUID.16146,AUID.10332,,,unknown1A
AUID.16147,AAY85430.1|uncultured_bacterium,86.018,329.0,9.05e-97,Desulfovibrio magneticus,86.239,109.0,7.980000000000002e-66,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio,,,,,,3,3P,AUID.16147,AUID.11704,,,unknown3
AUID.161584,ADT89913.1|uncultured_marine,86.28,328.0,6.99e-98,Verrucomicrobiae bacterium,95.413,109.0,3.52e-72,Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;__f;__g,,,,,,3,3E,AUID.161584,AUID.144804,,,unknown3
AUID.16175,AKS11285.1|uncultured_microorganism,98.78,328.0,8.19e-167,Desulfuromonas acetoxidans,98.165,109.0,5.19e-76,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae;Desulfuromonas,,,,,,1,1A,AUID.16175,AUID.11705,1.0,,Desulfuromonas acetoxidans
AUID.16187,AKS11377.1|uncultured_microorganism,83.333,312.0,2.59e-77,Desulfovibrio aespoeensis,96.33,109.0,5.74e-72,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio,,,,,,3,3E,AUID.16187,AUID.23605,,,unknown3
AUID.1619,ADT89864.1|uncultured_marine,99.032,310.0,1.68e-158,Teredinibacter turnerae,97.087,103.0,1.3e-70,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadalesgeneraincertaesedis;Teredinibacter,,,,,,1,1G,AUID.1619,AUID.1208,1.0,,Teredinibacter turnerae
AUID.16191,AAD23101.1|marine_proteobacterium,86.769,325.0,1.5e-99,Teredinibacter turnerae,94.495,109.0,5.75e-73,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadalesgeneraincertaesedis;Teredinibacter,,,,,,1,1G,AUID.16191,AUID.11706,,,unknown1G
AUID.16200,ALJ52007.1|uncultured_bacterium,94.817,328.0,3.92e-145,Desulfuromonas acetoxidans,98.165,109.0,5.19e-76,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae;Desulfuromonas,,,,,,1,1A,AUID.16200,AUID.11707,1.0,,Desulfuromonas acetoxidans
AUID.162142,AAY60057.1|uncultured_marine,88.58,324.0,5.33e-109,Dechloromonas aromatica,94.495,109.0,1.36e-72,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Dechloromonas,,,,,,1,1P,AUID.162142,AUID.144808,,,unknown1P
AUID.16218,ADO24931.1|uncultured_bacterium,83.537,328.0,7.14e-83,Desulfatibacillum alkenivorans,90.826,109.0,1.6199999999999996e-68,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfatibacillum,,,,,,3,3H,AUID.16218,AUID.23633,,,unknown3
AUID.16220,CUW00839.1|uncultured_marine,88.685,327.0,3.19e-111,Desulfovibrio aespoeensis,98.165,109.0,1.02e-74,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio,,,,,,3,3E,AUID.16220,AUID.23635,1.0,,Desulfovibrio aespoeensis
AUID.16221,AKP55998.1|uncultured_nitrogen-fixing,78.395,324.0,1.6e-54,Chloroherpeton thalassium,89.908,109.0,3.2099999999999996e-68,Bacteria;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae;Chloroherpeton,,,,,,3,3N,AUID.16221,AUID.23636,,,unknown3
AUID.16222,ARJ54677.1|uncultured_bacterium,75.61,328.0,1.64e-39,Chloroherpeton thalassium,86.239,109.0,1.7e-66,Bacteria;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae;Chloroherpeton,,,,,,3,3N,AUID.16222,AUID.11709,,,unknown3
AUID.16224,ABQ50767.1|uncultured_microorganism,87.5,328.0,4.15e-105,Desulfovibrio aespoeensis,98.165,109.0,3.44e-74,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio,,,,,,3,3E,AUID.16224,AUID.23638,1.0,,Desulfovibrio aespoeensis
AUID.16233,ADM51394.1|uncultured_bacterium,87.379,309.0,6.99e-98,Opitutaceae bacterium,88.073,109.0,3.27e-67,Bacteria;Verrucomicrobia;Opitutae;Opitutales;Opitutaceae;__g,,,,,,3,3T,AUID.16233,AUID.23647,,,unknown3
AUID.16239,AAY85424.1|uncultured_bacterium,88.291,316.0,4.15e-105,Chloroherpeton thalassium,88.073,109.0,1.92e-67,Bacteria;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae;Chloroherpeton,,,,,,3,3N,AUID.16239,AUID.10333,,,unknown3
AUID.162395,APG53599.1|uncultured_marine,99.695,328.0,8.14e-172,Pseudomonas stutzeri,93.578,109.0,2.35e-64,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,Gamma_A_Langl,99.083,327.0,3.05e-170,Gamma A|A015|γ24774A11,1,1G,AUID.162395,AUID.144811,,Gamma A|A015|γ24774A11;Gamma_A_Langl,Gamma A|A015|γ24774A11;Gamma_A_Langl
AUID.16240,AHB60513.1|Desulfonatronum_thioautotrophicum,80.061,326.0,7.35e-63,Desulfatibacillum alkenivorans,86.239,109.0,4.41e-65,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfatibacillum,,,,,,3,3Q,AUID.16240,AUID.11711,,,unknown3
AUID.16241,AHA49931.1|uncultured_bacterium,90.214,327.0,1.46e-119,Desulfatibacillum alkenivorans,89.908,109.0,3.5500000000000004e-58,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfatibacillum,,,,,,3,3B,AUID.16241,AUID.23653,,,unknown3
AUID.16248,AFO66637.1|uncultured_bacterium,95.988,324.0,1.4e-149,Dechloromonas aromatica,100.0,109.0,4.51e-77,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Dechloromonas,,,,,,1,1P,AUID.16248,AUID.23660,1.0,,Dechloromonas aromatica
AUID.16251,AKV16157.1|uncultured_nitrogen-fixing,99.695,328.0,8.14e-172,Pelobacter carbinolicus,93.578,109.0,4.05e-72,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Pelobacteraceae;Pelobacter,,,,,,1,1A,AUID.16251,AUID.11712,,,unknown1A
AUID.16255,ADM51394.1|uncultured_bacterium,88.199,322.0,8.89e-107,Verrucomicrobiae bacterium,87.963,108.0,4.49e-66,Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;__f;__g,,,,,,,nan,AUID.16255,AUID.23666,,,unknownnan
