AUID_updt,cluster,subcluster
AUID.129360,1,1G
AUID.12937,3,3E
AUID.12939,3,3N
AUID.12940,1,1A
AUID.12943,1,1A
AUID.12944,1,1A
AUID.12947,3,3E
AUID.12950,3,3L
AUID.12951,3,3E
AUID.12953,3,3G
AUID.12955,3,3P
AUID.12956,1,1A
AUID.12957,3,3N
AUID.12963,3,3C
AUID.12967,1,1P
AUID.129725,1,1G
AUID.12977,1,1P
AUID.129780,1,1G
AUID.12982,1,1G
AUID.12987,3,3N
AUID.12990,3,3Q
AUID.12991,1,1G
AUID.12992,1,1A
AUID.12996,3,3N
AUID.129996,1,1B
AUID.13,1,1B
AUID.1300,1,1K
AUID.13001,3,3E
AUID.13002,1,1G
AUID.13007,3,3N
AUID.13010,3,3Q
AUID.13012,3,3E
AUID.13013,3,3H
AUID.13014,3,3E
AUID.13015,2,2D
AUID.13017,3,3Q
AUID.13024,1,1A
AUID.13034,1,1A
AUID.13038,1,1A
AUID.13039,1,1P
AUID.13056,3,3I
AUID.13059,1,1A
AUID.13071,3,3E
AUID.13076,3,3T
AUID.13077,3,3N
AUID.13081,1,1O
AUID.13083,3,3E
AUID.13087,1,1A
AUID.13096,3,3B
AUID.1310,2,2D
AUID.13107,3,3I
AUID.13112,3,3G
AUID.13113,3,3T
AUID.13114,1,1A
AUID.13118,4,4G
AUID.13119,3,3N
AUID.13120,3,3K
AUID.13125,3,3N
AUID.13126,3,3E
AUID.13130,1,1A
AUID.13133,1,1K
AUID.13136,3,3T
AUID.13147,1,1P
AUID.13153,1,1A
AUID.13154,4,4G
AUID.13155,1,1G
AUID.13156,1,1P
AUID.13161,3,3N
AUID.13162,1,1A
AUID.13167,1,1P
AUID.13169,1,1A
AUID.13171,3,3E
AUID.13173,3,3E
AUID.13174,1,1G
AUID.13180,1,1A
AUID.13181,1,1K
AUID.13184,1,1P
AUID.13186,1,1A
AUID.13188,3,3N
AUID.13191,1,1G
AUID.132,3,3E
AUID.13201,3,3E
AUID.13202,1,1K
AUID.13203,1,1A
AUID.13204,3,3E
AUID.13207,3,3N
AUID.13208,1,1A
AUID.13209,1,1A
AUID.1321,1,1G
AUID.13218,3,3G
AUID.13224,3,3E
AUID.13225,2,2D
AUID.13227,3,3E
AUID.13237,1,1A
AUID.13238,3,3E
AUID.13242,1,1G
AUID.13243,1,1A
AUID.13246,1,1P
AUID.13251,1,1A
AUID.13254,1,1C
AUID.13256,1,1P
AUID.13259,1,1K
AUID.13264,1,1A
AUID.13274,3,3B
AUID.13275,1,1A
AUID.13277,3,3Q
AUID.13284,1,1P
AUID.13285,3,3I
AUID.13288,3,3S
AUID.13292,1,1A
AUID.13297,3,3T
AUID.13299,3,3M
AUID.13300,3,3E
AUID.13301,3,3Q
AUID.13302,1,1A
AUID.13303,3,3E
AUID.13304,3,3B
AUID.13305,3,3E
AUID.13309,3,3N
AUID.13311,4,4G
AUID.13312,NA,NA
AUID.13314,3,3B
AUID.13315,1,1A
AUID.13316,3,3L
AUID.13317,3,3E
AUID.1332,1,1G
AUID.133275,1,1J
AUID.13338,3,3J
AUID.13348,1,1J
AUID.13358,3,3N
AUID.13359,1,1P
AUID.13361,3,3E
AUID.13363,3,3H
AUID.13364,3,3E
AUID.13366,1,1A
AUID.13367,3,3E
AUID.13372,3,3B
AUID.13373,3,3H
AUID.13375,3,3E
AUID.13377,3,3N
AUID.13380,3,3H
AUID.13384,1,1G
AUID.13385,3,3N
AUID.13389,3,3J
AUID.13390,3,3E
AUID.13398,1,1A
AUID.13403,1,1A
AUID.13405,3,3E
AUID.13406,3,3E
AUID.13407,3,3L
AUID.13409,3,3Q
AUID.13424,2,2C
AUID.13428,3,3E
AUID.1343,1,1G
AUID.13431,3,3B
AUID.134313,1,1B
AUID.13438,3,3Q
AUID.13451,3,3N
AUID.13459,1,1P
AUID.13464,3,3T
AUID.13465,1,1P
AUID.13468,1,1A
AUID.13469,3,3N
AUID.13475,NA,NA
AUID.13479,1,1A
AUID.13481,1,1A
AUID.13490,3,3N
AUID.13498,3,3N
AUID.13499,1,1A
AUID.135,3,3P
AUID.13508,1,1A
AUID.13512,3,3E
AUID.13513,3,3I
AUID.13517,3,3I
AUID.1352,1,1B
AUID.13520,3,3Q
AUID.13521,3,3T
AUID.13522,1,1A
AUID.13526,3,3K
AUID.13527,1,1A
AUID.13528,3,3E
AUID.1353,1,1G
AUID.13531,1,1A
AUID.13533,3,3E
AUID.13534,3,3E
AUID.13539,3,3N
AUID.13540,3,3N
AUID.13541,3,3I
AUID.13543,3,3B
AUID.13546,3,3H
AUID.13547,3,3E
AUID.13552,3,3N
AUID.13553,3,3E
AUID.13559,3,3E
AUID.135672,1,1B
AUID.13570,3,3H
AUID.13571,3,3Q
AUID.13578,1,1A
AUID.13580,1,1P
AUID.13583,3,3L
AUID.13585,1,1A
AUID.135893,1,1G
AUID.13591,3,3J
AUID.13592,3,3L
AUID.13593,3,3E
AUID.13594,3,3N
AUID.13598,3,3I
AUID.13599,3,3E
AUID.136,3,3E
AUID.13600,1,1P
AUID.136037,1,1B
AUID.13606,1,1A
AUID.13611,3,3E
AUID.13612,1,1A
AUID.13615,1,1A
AUID.13620,1,1A
AUID.13623,1,1A
AUID.136243,1,1B
AUID.13628,1,1G
AUID.13629,1,1G
AUID.13631,3,3E
AUID.13632,1,1K
AUID.13633,1,1G
AUID.13636,1,1A
AUID.13638,3,3Q
AUID.13640,1,1A
AUID.13641,3,3E
AUID.13642,3,3T
AUID.13643,1,1P
AUID.136453,1,1G
AUID.13652,1,1G
AUID.13664,3,3N
AUID.13666,1,1A
AUID.13668,1,1A
AUID.13669,1,1G
AUID.13670,3,3L
AUID.13674,1,1K
AUID.136758,1,1B
AUID.13678,3,3T
AUID.13680,1,1A
AUID.13681,3,3N
AUID.13685,1,1A
AUID.136880,1,1A
AUID.136907,1,1P
AUID.13693,1,1A
AUID.13697,3,3N
AUID.137,3,3E
AUID.1370,1,1F
AUID.13702,1,1P
AUID.13704,2,2D
AUID.13719,1,1A
AUID.13724,3,3E
AUID.13726,1,1P
AUID.13733,1,1A
AUID.13747,3,3T
AUID.13748,3,3I
AUID.13751,3,3E
AUID.13752,3,3N
AUID.13755,3,3N
AUID.13757,3,3S
AUID.13759,1,1G
AUID.13761,3,3E
AUID.13762,1,1A
AUID.13763,3,3N
AUID.13765,1,1P
AUID.137697,1,1B
AUID.13772,1,1A
AUID.13773,3,3E
AUID.13775,3,3E
AUID.13777,3,3H
AUID.13778,1,1A
AUID.13779,3,3E
AUID.137797,1,1B
AUID.13781,3,3P
AUID.13783,1,1A
AUID.13784,3,3H
AUID.13789,1,1K
AUID.13790,3,3J
AUID.13798,3,3P
AUID.1380,1,1G
AUID.13806,3,3N
AUID.13808,3,3N
AUID.13818,1,1A
AUID.13819,3,3N
AUID.138222,1,1B
AUID.13823,1,1A
AUID.13824,3,3N
AUID.13825,1,1A
AUID.13826,3,3E
AUID.13828,3,3E
AUID.13830,3,3N
AUID.13832,3,3E
AUID.13833,4,4G
AUID.13837,3,3N
AUID.13838,3,3E
AUID.13840,1,1G
AUID.13842,3,3G
AUID.13845,3,3E
AUID.13854,3,3I
AUID.13855,3,3N
AUID.13856,3,3E
AUID.13859,1,1A
AUID.13861,1,1P
AUID.13873,3,3E
AUID.13875,1,1E
AUID.13877,3,3Q
AUID.13879,3,3E
AUID.13881,2,2C
AUID.13882,3,3E
AUID.13883,3,3E
AUID.138857,1,1B
AUID.13889,1,1O
AUID.139,1,1O
AUID.1390,4,4F
AUID.13901,3,3E
AUID.13903,3,3E
AUID.13906,3,3E
AUID.139073,1,1B
AUID.13910,3,3G
AUID.13911,1,1A
AUID.13922,1,1G
AUID.13930,3,3I
AUID.13932,3,3E
AUID.13939,4,4G
AUID.13942,3,3Q
AUID.13964,1,1B
AUID.13965,3,3N
AUID.13970,1,1G
AUID.13971,3,3S
AUID.13975,3,3T
AUID.13977,3,3E
AUID.13985,3,3B
AUID.13987,3,3K
AUID.13988,3,3E
AUID.13992,3,3J
AUID.13995,3,3I
AUID.13996,3,3H
AUID.13997,3,3K
AUID.13998,3,3E
AUID.14,3,3I
AUID.14002,3,3E
AUID.14003,3,3N
AUID.14014,1,1G
AUID.14017,1,1A
AUID.14024,1,1A
AUID.14035,3,3J
AUID.140353,1,1B
AUID.14045,1,1A
AUID.14050,1,1A
AUID.14054,3,3N
AUID.14056,3,3E
AUID.14057,3,3E
AUID.14059,1,1K
AUID.14060,3,3E
AUID.14070,3,3H
AUID.14071,3,3N
AUID.14072,1,1P
AUID.14073,1,1A
AUID.14074,3,3E
AUID.14089,3,3I
AUID.14094,3,3L
AUID.141,1,1K
AUID.14101,3,3B
AUID.14111,1,1A
AUID.14114,3,3E
AUID.14116,3,3N
AUID.14117,3,3E
AUID.14120,3,3B
AUID.14124,NA,NA
AUID.14125,3,3Q
AUID.14140,1,1A
AUID.141428,1,1B
AUID.14144,1,1K
AUID.14149,1,1A
AUID.14150,1,1P
AUID.14158,1,1P
AUID.14164,3,3I
AUID.141646,1,1B
AUID.14166,1,1G
AUID.1417,3,3E
AUID.14177,1,1G
AUID.14185,1,1G
AUID.14187,1,1A
AUID.14189,1,1A
AUID.14191,1,1A
AUID.14192,1,1A
AUID.14193,3,3G
AUID.14199,3,3N
AUID.14200,NA,NA
AUID.14202,1,1K
AUID.14205,3,3N
AUID.14207,1,1C
AUID.14208,3,3E
AUID.14211,3,3N
AUID.14214,3,3M
AUID.14220,3,3E
AUID.14221,1,1A
AUID.14224,3,3H
AUID.14225,3,3E
AUID.14226,3,3E
AUID.14227,1,1A
AUID.14231,3,3S
AUID.14241,1,1A
AUID.14242,3,3E
AUID.14252,1,1A
AUID.14258,3,3L
AUID.14259,1,1A
AUID.14263,3,3G
AUID.14265,3,3N
AUID.14268,1,1O
AUID.14277,1,1A
AUID.1428,1,1K
AUID.14280,3,3N
AUID.14285,1,1A
AUID.14286,1,1A
AUID.14289,3,3H
AUID.14290,1,1P
AUID.14295,1,1A
AUID.14297,3,3I
AUID.14306,1,1A
AUID.14309,3,3I
AUID.14310,1,1K
AUID.14314,4,4G
AUID.14318,1,1A
AUID.14323,3,3P
AUID.14324,1,1A
AUID.14339,3,3E
AUID.14341,3,3E
AUID.14344,1,1G
AUID.14345,1,1A
AUID.14346,1,1G
AUID.14355,3,3Q
AUID.143582,1,1B
AUID.14362,3,3P
AUID.14364,1,1A
AUID.14374,3,3E
AUID.14384,3,3E
AUID.14385,1,1A
AUID.14386,1,1G
AUID.14389,3,3E
AUID.1439,1,1B
AUID.14394,1,1A
AUID.144,3,3E
AUID.14404,3,3E
AUID.14408,3,3H
AUID.14414,1,1A
AUID.14416,1,1A
AUID.14424,3,3E
AUID.14425,3,3P
AUID.14426,3,3J
AUID.14435,1,1A
AUID.14444,1,1J
AUID.144447,1,1G
AUID.14448,3,3E
AUID.14451,1,1A
AUID.14454,1,1P
AUID.14455,1,1A
AUID.14457,1,1P
AUID.14462,1,1A
AUID.14463,3,3E
AUID.144663,1,1P
AUID.14469,3,3N
AUID.14470,3,3L
AUID.14471,3,3L
AUID.14473,3,3E
AUID.14474,1,1G
AUID.144761,1,1B
AUID.14478,3,3Q
AUID.14480,3,3H
AUID.14483,1,1P
AUID.14484,3,3N
AUID.14485,3,3E
AUID.14489,1,1A
AUID.14499,3,3E
AUID.145,1,1O
AUID.1450,1,1G
AUID.14500,3,3Q
AUID.145053,1,1G
AUID.1451,3,3L
AUID.14510,3,3E
AUID.14513,1,1P
AUID.145150,1,1O
AUID.14521,3,3E
AUID.14523,1,1G
AUID.14524,3,3E
AUID.145247,1,1B
AUID.14525,3,3L
AUID.14529,3,3G
AUID.14530,3,3H
AUID.145344,1,1G
AUID.14537,3,3Q
AUID.14542,1,1A
AUID.145437,1,1G
AUID.14545,3,3Q
AUID.14546,3,3H
AUID.14547,1,1A
AUID.14560,3,3B
AUID.145626,1,1G
AUID.14571,1,1A
AUID.145713,3,3E
AUID.145766,3,3L
AUID.145806,1,1P
AUID.14582,3,3E
AUID.14583,3,3P
AUID.14588,3,3N
AUID.14593,3,3E
AUID.14603,1,1G
AUID.14605,1,1P
AUID.1461,1,1A
AUID.14613,3,3P
AUID.14624,1,1P
AUID.14638,1,1A
AUID.14643,1,1A
AUID.14651,3,3I
AUID.146575,1,1B
AUID.14662,3,3N
AUID.14665,1,1A
AUID.146667,1,1G
AUID.14675,3,3G
AUID.146767,1,1B
AUID.14680,3,3K
AUID.14682,1,1G
AUID.14685,1,1P
AUID.14695,3,3E
AUID.146963,1,1K
AUID.147,1,1G
AUID.14703,3,3J
AUID.14713,3,3N
AUID.14724,3,3E
AUID.147246,1,1B
AUID.14727,3,3N
AUID.14731,3,3N
AUID.14732,3,3L
AUID.14733,2,2C
AUID.147335,3,3L
AUID.14738,3,3E
AUID.14740,3,3N
AUID.14741,1,1G
AUID.14743,3,3E
AUID.147434,1,1B
AUID.14745,1,1A
AUID.14746,3,3E
AUID.14747,3,3G
AUID.14749,3,3I
AUID.14753,1,1A
AUID.14754,3,3N
AUID.147565,1,1K
AUID.14758,3,3Q
AUID.14759,3,3Q
AUID.14766,3,3N
AUID.14786,3,3E
AUID.14788,3,3E
AUID.14797,3,3H
AUID.14798,3,3P
AUID.14799,1,1P
AUID.148,1,1G
AUID.148004,1,1B
AUID.14801,1,1G
AUID.14802,3,3
AUID.14803,1,1G
AUID.14807,1,1K
AUID.14809,1,1A
AUID.1481,1,1G
AUID.148106,1,1B
AUID.14811,3,3H
AUID.14818,3,3L
AUID.14819,3,3I
AUID.14826,3,3N
AUID.14827,1,1P
AUID.14828,3,3T
AUID.148287,1,1B
AUID.14834,3,3E
AUID.14836,1,1E
AUID.148382,1,1B
AUID.14839,3,3E
AUID.14844,3,3H
AUID.148482,1,1B
AUID.14856,1,1A
AUID.14857,3,3E
AUID.14860,3,3E
AUID.14862,3,3I
AUID.14868,3,3N
AUID.14869,1,1K
AUID.14873,3,3E
AUID.14874,1,1K
AUID.14875,1,1G
AUID.14877,3,3E
AUID.14879,3,3L
AUID.14882,3,3Q
AUID.14884,3,3L
AUID.1489,1,1J
AUID.148968,1,1B
AUID.149,1,1K
AUID.149065,1,1G
AUID.14911,1,1G
AUID.14912,3,3B
AUID.14915,3,3H
AUID.14923,3,3E
AUID.14924,3,3N
AUID.149248,1,1B
AUID.149345,3,3E
AUID.14939,1,1A
AUID.149441,1,1B
AUID.14952,2,2C
AUID.14953,3,3P
AUID.149534,3,3C
AUID.14954,4,4G
AUID.14960,3,3E
AUID.14966,1,1K
AUID.14969,3,3E
AUID.1497,1,1P
AUID.14973,1,1A
AUID.149734,1,1O
AUID.14980,1,1K
AUID.14989,3,3N
AUID.149920,3,3L
AUID.15,3,3H
AUID.150,1,1G
AUID.150014,1,1B
AUID.150113,1,1B
AUID.15017,1,1A
AUID.15032,3,3G
AUID.15034,1,1A
AUID.15035,3,3E
AUID.15038,1,1G
AUID.150406,1,1B
AUID.15046,3,3H
AUID.15049,3,3N
AUID.150498,3,3J
AUID.15054,3,3T
AUID.15056,3,3I
AUID.15057,1,1G
AUID.15065,3,3E
AUID.150684,1,1B
AUID.15072,3,3E
AUID.15073,1,1A
AUID.150776,1,1B
AUID.15082,1,1A
AUID.15083,1,1A
AUID.15086,3,3N
AUID.15093,3,3G
AUID.15109,1,1A
AUID.15110,3,3L
AUID.15116,3,3E
AUID.15120,3,3J
AUID.15123,1,1G
AUID.151230,1,1B
AUID.15127,3,3E
AUID.15133,3,3E
AUID.15134,3,3Q
AUID.15139,3,3E
AUID.151415,1,1G
AUID.15144,3,3N
AUID.15148,1,1A
AUID.15149,2,2D
AUID.151514,1,1B
AUID.1516,1,1K
AUID.15165,3,3H
AUID.15167,1,1G
AUID.151698,1,1G
AUID.15170,3,3N
AUID.15171,1,1A
AUID.15176,1,1K
AUID.15177,1,1A
AUID.15179,1,1K
AUID.15180,3,3E
AUID.15181,3,3E
AUID.15182,2,2D
AUID.15187,3,3J
AUID.151879,1,1G
AUID.15195,3,3N
AUID.15197,3,3G
AUID.152074,1,1G
AUID.15209,1,1P
AUID.15210,1,1J
AUID.152162,1,1P
AUID.15219,3,3B
AUID.15228,3,3E
AUID.15236,3,3M
AUID.15237,1,1P
AUID.15238,3,3L
AUID.15254,1,1P
AUID.15255,1,1P
AUID.15256,1,1G
AUID.1526,3,3Q
AUID.152620,1,1P
AUID.15263,3,3N
AUID.15267,1,1G
AUID.15272,1,1G
AUID.15287,1,1A
AUID.15288,1,1K
AUID.15289,1,1P
AUID.15297,1,1A
AUID.15307,1,1A
AUID.15312,1,1A
AUID.153153,1,1B
AUID.15340,3,3H
AUID.153413,1,1G
AUID.15355,3,3K
AUID.15356,1,1A
AUID.15357,1,1O
AUID.153597,1,1B
AUID.15365,3,3N
AUID.15366,3,3H
AUID.15367,1,1A
AUID.15370,1,1A
AUID.15372,3,3E
AUID.15373,1,1G
AUID.15374,3,3E
AUID.15377,3,3E
AUID.15378,1,1A
AUID.15380,3,3N
AUID.15381,1,1G
AUID.15388,3,3E
AUID.15389,1,1A
AUID.15390,3,3P
AUID.15393,1,1A
AUID.15394,1,1A
AUID.15395,1,1P
AUID.15397,3,3T
AUID.15402,1,1G
AUID.15403,3,3E
AUID.154057,1,1G
AUID.154058,1,1G
AUID.15406,3,3E
AUID.15411,1,1A
AUID.15412,3,3Q
AUID.15418,1,1A
AUID.15430,1,1A
AUID.15439,3,3N
AUID.15449,3,3E
AUID.154517,1,1B
AUID.15452,3,3E
AUID.15458,3,3K
AUID.154612,1,1G
AUID.15468,3,3N
AUID.15469,3,3G
AUID.1547,1,1B
AUID.15471,3,3E
AUID.15472,1,1A
AUID.15475,3,3J
AUID.15482,3,3E
AUID.15483,4,4G
AUID.15485,1,1A
AUID.15488,3,3H
AUID.15492,1,1J
AUID.154971,1,1G
AUID.15498,4,4G
AUID.15503,1,1P
AUID.155067,1,1B
AUID.15507,1,1P
AUID.15509,3,3L
AUID.15510,4,4G
AUID.15513,3,3E
AUID.15515,3,3N
AUID.155161,1,1G
AUID.15519,1,1G
AUID.15530,1,1A
AUID.155352,1,1G
AUID.15540,1,1G
AUID.15545,1,1A
AUID.15547,3,3E
AUID.15548,3,3N
AUID.155517,1,1B
AUID.155617,1,1B
AUID.15562,3,3E
AUID.15569,4,4G
AUID.15579,3,3N
AUID.1558,1,1G
AUID.15582,1,1A
AUID.155878,2,2C
AUID.15589,1,1A
AUID.15590,3,3N
AUID.15609,3,3E
AUID.15612,3,3K
AUID.156132,1,1G
AUID.15617,1,1A
AUID.15626,1,1A
AUID.15628,1,1A
AUID.156282,3,3E
AUID.156318,1,1K
AUID.15646,3,3T
AUID.15647,3,3E
AUID.15649,3,3J
AUID.15655,3,3J
AUID.156576,1,1B
AUID.15658,3,3E
AUID.15664,1,1G
AUID.15665,3,3E
AUID.15666,3,3Q
AUID.15667,1,1A
AUID.15668,3,3H
AUID.15669,1,1A
AUID.15670,1,1K
AUID.15671,3,3E
AUID.15673,4,4G
AUID.15676,3,3H
AUID.15677,3,3P
AUID.15680,3,3E
AUID.15682,3,3I
AUID.15685,1,1A
AUID.15687,NA,NA
AUID.15689,1,1A
AUID.15691,3,3E
AUID.15696,1,1C
AUID.15698,3,3N
AUID.15699,3,3P
AUID.15704,3,3P
AUID.15712,1,1G
AUID.157224,3,3H
AUID.15723,1,1A
AUID.15733,1,1A
AUID.15742,1,1A
AUID.15743,1,1C
AUID.15754,1,1P
AUID.15758,3,3N
AUID.15759,3,3N
AUID.15765,3,3E
AUID.15766,3,3J
AUID.157662,1,1F
AUID.15772,3,3P
AUID.157744,1,1G
AUID.15781,1,1A
AUID.15784,1,1A
AUID.1579,1,1K
AUID.15793,3,3N
AUID.15798,1,1J
AUID.15801,3,3N
AUID.158011,1,1B
AUID.15803,3,3L
AUID.158099,1,1G
AUID.15811,3,3B
AUID.158189,1,1B
AUID.15820,3,3N
AUID.15822,1,1A
AUID.15823,3,3E
AUID.15824,1,1P
AUID.15833,3,3N
AUID.158373,1,1K
AUID.15852,3,3G
AUID.158554,3,3H
AUID.15866,1,1A
AUID.15871,3,3G
AUID.15873,3,3K
AUID.15874,3,3E
AUID.15877,1,1A
AUID.158818,1,1B
AUID.15887,1,1K
AUID.158919,3,3E
AUID.15895,1,1A
AUID.1590,1,1P
AUID.159018,1,1G
AUID.15911,1,1A
AUID.15912,1,1P
AUID.15914,3,3E
AUID.159198,1,1G
AUID.15920,3,3E
AUID.15921,3,3E
AUID.15924,2,2C
AUID.15930,3,3N
AUID.159372,1,1G
AUID.15938,1,1A
AUID.15941,3,3E
AUID.159457,1,1O
AUID.15947,1,1A
AUID.15951,3,3I
AUID.159641,1,1G
AUID.15971,3,3T
AUID.15979,1,1G
AUID.15989,3,3T
AUID.1599,2,2D
AUID.16,1,1G
AUID.160,3,3E
AUID.16002,3,3J
AUID.16005,1,1G
AUID.16007,3,3H
AUID.16008,3,3I
AUID.16009,NA,NA
AUID.16014,3,3N
AUID.160154,1,1B
AUID.16016,3,3E
AUID.16022,3,3H
AUID.16024,3,3N
AUID.160250,1,1B
AUID.16030,3,3I
AUID.16031,1,1G
AUID.16033,1,1E
AUID.16034,1,1O
AUID.160344,1,1G
AUID.160345,1,1B
AUID.16040,3,3E
AUID.16044,1,1P
AUID.16045,1,1A
AUID.16048,3,3N
AUID.16050,3,3B
AUID.16053,3,3K
AUID.16057,3,3E
AUID.16062,3,3E
AUID.160622,1,1B
AUID.16064,1,1A
AUID.16065,1,1A
AUID.16066,1,1A
AUID.16070,1,1A
AUID.16071,1,1A
AUID.16079,1,1G
AUID.160795,1,1G
AUID.16083,1,1A
AUID.1609,1,1G
AUID.16103,3,3T
AUID.161068,1,1G
AUID.16109,3,3E
AUID.16112,1,1A
AUID.16118,3,3H
AUID.16122,1,1G
AUID.16124,3,3E
AUID.161250,1,1G
AUID.16129,1,1K
AUID.16131,3,3J
AUID.16146,1,1A
AUID.16147,3,3P
AUID.161584,3,3E
AUID.16175,1,1A
AUID.16187,3,3E
AUID.1619,1,1G
AUID.16191,1,1G
AUID.16200,1,1A
AUID.162142,1,1P
AUID.16218,3,3H
AUID.16220,3,3E
AUID.16221,3,3N
AUID.16222,3,3N
AUID.16224,3,3E
AUID.16233,3,3T
AUID.16239,3,3N
AUID.162395,1,1G
AUID.16240,3,3Q
AUID.16241,3,3B
AUID.16248,1,1P
AUID.16251,1,1A
AUID.16255,NA,NA
AUID.162578,NA,NA
AUID.16260,3,3N
AUID.16261,1,1A
AUID.16262,3,3E
AUID.162672,3,3E
AUID.16283,1,1K
AUID.162854,1,1G
AUID.16290,3,3T
AUID.16292,3,3T
AUID.162938,3,3L
AUID.16296,1,1A
AUID.16300,1,1A
AUID.163028,1,1G
AUID.163029,1,1G
AUID.16312,1,1K
AUID.163227,1,1G
AUID.16325,1,1K
AUID.163268,4,4G
AUID.16332,3,3E
AUID.16343,3,3T
AUID.16351,3,3E
AUID.16357,3,3Q
AUID.163579,1,1G
AUID.16358,3,3M
AUID.16359,1,1O
AUID.16364,1,1A
AUID.16366,3,3J
AUID.16368,3,3N
AUID.16369,1,1G
AUID.16370,3,3E
AUID.16375,1,1A
AUID.16382,3,3E
AUID.16385,3,3L
AUID.16386,3,3E
AUID.16387,1,1G
AUID.16388,3,3N
AUID.16391,1,1A
AUID.16392,1,1A
AUID.16393,3,3E
AUID.163957,1,1G
AUID.16399,3,3E
AUID.164,3,3E
AUID.16400,1,1A
AUID.16406,1,1P
AUID.16409,3,3H
AUID.1641,1,1A
AUID.16411,3,3E
AUID.16417,3,3N
AUID.16425,1,1A
AUID.16428,3,3T
AUID.16449,2,2C
AUID.16454,1,1A
AUID.16456,4,4G
AUID.16460,3,3T
AUID.16462,3,3B
AUID.16465,3,3E
AUID.16466,3,3E
AUID.16470,1,1A
AUID.16473,3,3R
AUID.16475,3,3E
AUID.16477,3,3H
AUID.16478,3,3E
AUID.16486,3,3E
AUID.16487,3,3E
AUID.16488,1,1G
AUID.16495,3,3J
AUID.16498,3,3E
AUID.16504,1,1G
AUID.16507,3,3H
AUID.16511,1,1G
AUID.1652,1,1K
AUID.16520,1,1A
AUID.16528,3,3I
AUID.1653,1,1J
AUID.16530,3,3N
AUID.16532,2,2D
AUID.16537,1,1G
AUID.16539,3,3E
AUID.16540,1,1P
AUID.16544,1,1G
AUID.16545,3,3R
AUID.16550,3,3E
AUID.165672,1,1B
AUID.16571,1,1K
AUID.165715,3,3H
AUID.165729,1,1B
AUID.16575,3,3E
AUID.165757,1,1B
AUID.165850,3,3L
AUID.16590,3,3E
AUID.16594,3,3N
AUID.165951,1,1G
AUID.166048,1,1G
AUID.166108,1,1K
AUID.16619,3,3E
AUID.16622,1,1J
AUID.166238,1,1G
AUID.16625,1,1K
AUID.16626,NA,NA
AUID.16628,3,3N
AUID.1663,1,1E
AUID.16631,1,1P
AUID.16633,3,3N
AUID.166352,1,1B
AUID.16644,1,1A
AUID.16647,1,1A
AUID.16656,3,3P
AUID.16657,3,3K
AUID.16665,3,3K
AUID.16674,1,1P
AUID.166779,1,1E
AUID.16678,1,1A
AUID.166812,3,3E
AUID.16686,1,1A
AUID.166904,1,1G
AUID.166905,1,1G
AUID.16693,1,1C
AUID.16695,1,1A
AUID.167000,3,3L
AUID.167102,1,1P
AUID.16726,1,1B
AUID.167302,1,1O
AUID.16736,3,3N
AUID.16740,3,3Q
AUID.16742,1,1A
AUID.16748,3,3
AUID.16754,3,3G
AUID.16756,3,3L
AUID.167588,1,1P
AUID.16759,1,1A
AUID.16764,1,1G
AUID.16765,1,1A
AUID.16767,3,3N
AUID.167688,3,3E
AUID.1677,1,1G
AUID.16770,1,1G
AUID.16773,1,1A
AUID.16775,1,1P
AUID.167789,1,1G
AUID.1678,1,1G
AUID.16782,1,1A
AUID.16784,3,3E
AUID.16786,3,3E
AUID.167890,1,1G
AUID.16790,3,3H
AUID.16791,1,1A
AUID.16792,3,3E
AUID.16795,3,3J
AUID.16796,3,3E
AUID.167995,1,1G
AUID.168,1,1O
AUID.16805,1,1A
AUID.16806,1,1G
AUID.16811,1,1A
AUID.16816,1,1P
AUID.16823,1,1P
AUID.168288,1,1B
AUID.16833,1,1G
AUID.168389,1,1G
AUID.1684,1,1K
AUID.168482,1,1G
AUID.16854,3,3E
AUID.16859,1,1K
AUID.1686,1,1K
AUID.16862,3,3L
AUID.16863,2,2D
AUID.16865,3,3A
AUID.16866,1,1A
AUID.168699,1,1G
AUID.1687,3,3S
AUID.16873,3,3N
AUID.16877,1,1A
AUID.168774,1,1B
AUID.16881,1,1A
AUID.16885,1,1A
AUID.16886,1,1A
AUID.16887,3,3T
AUID.168870,1,1G
AUID.16890,3,3N
AUID.16891,3,3P
AUID.16892,3,3L
AUID.16898,1,1K
AUID.16901,1,1G
AUID.16902,3,3N
AUID.16905,3,3T
AUID.16906,3,3E
AUID.16907,3,3N
AUID.16909,3,3N
AUID.16919,3,3E
AUID.1692,1,1G
AUID.16922,1,1A
AUID.169261,1,1G
AUID.16928,3,3N
AUID.16929,3,3E
AUID.16939,1,1
AUID.1694,1,1P
AUID.16949,3,3N
AUID.1695,1,1B
AUID.169547,1,1G
AUID.16959,1,1G
AUID.16963,3,3I
AUID.169646,1,1B
AUID.16970,3,3E
AUID.169743,3,3E
AUID.16977,1,1A
AUID.169844,1,1B
AUID.16988,1,1A
AUID.16999,3,3R
AUID.17,3,3E
AUID.170032,1,1B
AUID.170041,1,1F
AUID.1701,3,3N
AUID.17010,1,1A
AUID.17014,1,1G
AUID.17017,3,3E
AUID.17018,3,3R
AUID.17024,3,3E
AUID.1703,1,1K
AUID.17030,1,1B
AUID.17033,1,1G
AUID.17047,3,3P
AUID.1705,1,1B
AUID.17051,3,3E
AUID.17065,1,1A
