SAMPLEID,StudyID,Run,SRA_Study,BioProject,BioSample,Sample_Name,Sample_Name_2,Region,Collection_Date,Time,Depth,Station,geo_loc_name,Lat_Lon,Latitude,Longitude,LibraryName,LibrarySelection,LibrarySource,Size_fraction,Sample_Type
Gradoville37.68556,Gradoville_2020,SRR8844143,NA,PRJNA530276,SAMN11317430,NA,NA,transition,2017-5-31,20:08:00,15,10,Pacific Ocean,34.88330333 N 157.9967383 W,34.88330333,157.9967383,NA,PCR,METAGENOMIC,whole,NA
Gradoville38.68561,Gradoville_2020,SRR8844140,NA,PRJNA530276,SAMN11317431,NA,NA,transition,2017-6-1,3:30:00,15,5,Pacific Ocean,36.06198167 N 158.0005583 W,36.06198167,158.0005583,NA,PCR,METAGENOMIC,whole,NA
Gradoville39.68562,Gradoville_2020,NA,NA,NA,NA,NA,NA,transition,2017-6-1,3:30:00,15,5,NA,36.06198167 N 158.0005583 W,36.06198167,158.0005583,NA,NA,METAGENOMIC,whole,NA
Gradoville4.68491,Gradoville_2020,SRR8844199,NA,PRJNA530276,SAMN11317398,NA,NA,npsg,2017-5-29,14:40:00,15,1,Pacific Ocean,26.44829 N 157.9997783 W,26.44829,157.9997783,NA,PCR,METAGENOMIC,whole,NA
Gradoville40.68567,Gradoville_2020,SRR8844141,NA,PRJNA530276,SAMN11317432,NA,NA,transition,2017-6-1,10:43:00,15,11,Pacific Ocean,37.00191333 N 157.9972683 W,37.00191333,157.9972683,NA,PCR,METAGENOMIC,whole,NA
Gradoville41.68568,Gradoville_2020,SRR8844138,NA,PRJNA530276,SAMN11317433,NA,NA,transition,2017-6-1,10:43:00,15,11,Pacific Ocean,37.00191333 N 157.9972683 W,37.00191333,157.9972683,NA,PCR,METAGENOMIC,whole,NA
Gradoville42.68591,Gradoville_2020,SRR8844139,NA,PRJNA530276,SAMN11317434,NA,NA,transition,2017-6-3,8:37:00,15,7,Pacific Ocean,41.41657667 N 157.99993 W,41.41657667,157.99993,NA,PCR,METAGENOMIC,whole,NA
Gradoville43.68597,Gradoville_2020,SRR8844136,NA,PRJNA530276,SAMN11317435,NA,NA,transition,2017-6-3,8:37:00,120,7,Pacific Ocean,41.41657667 N 157.99993 W,41.41657667,157.99993,NA,PCR,METAGENOMIC,whole,NA
Gradoville44.68607,Gradoville_2020,SRR8844137,NA,PRJNA530276,SAMN11317436,NA,NA,transition,2017-6-3,8:37:00,15,7,Pacific Ocean,41.41657667 N 157.99993 W,41.41657667,157.99993,NA,PCR,METAGENOMIC,whole,NA
Gradoville45.68608,Gradoville_2020,SRR8844164,NA,PRJNA530276,SAMN11317437,NA,NA,transition,2017-6-3,8:37:00,15,7,Pacific Ocean,41.41657667 N 157.99993 W,41.41657667,157.99993,NA,PCR,METAGENOMIC,whole,NA
Gradoville46.68638,Gradoville_2020,SRR8844161,NA,PRJNA530276,SAMN11317438,NA,NA,transition,2017-6-4,9:53:00,24,8,Pacific Ocean,39.49989833 N 158.0000667 W,39.49989833,158.0000667,NA,PCR,METAGENOMIC,whole,NA
Gradoville47.68645,Gradoville_2020,NA,NA,NA,NA,NA,NA,transition,2017-6-4,9:53:00,45,8,NA,39.49989833 N 158.0000667 W,39.49989833,158.0000667,NA,NA,METAGENOMIC,whole,NA
Gradoville48.68646,Gradoville_2020,SRR8844115,NA,PRJNA530276,SAMN11317439,NA,NA,transition,2017-6-4,9:53:00,45,8,Pacific Ocean,39.49989833 N 158.0000667 W,39.49989833,158.0000667,NA,PCR,METAGENOMIC,whole,NA
Gradoville49.68667,Gradoville_2020,SRR8844114,NA,PRJNA530276,SAMN11317440,NA,NA,transition,2017-6-5,3:32:00,15,9,Pacific Ocean,37.9999 N 157.9999667 W,37.9999,157.9999667,NA,PCR,METAGENOMIC,whole,NA
Gradoville5.68496,Gradoville_2020,SRR8844190,NA,PRJNA530276,SAMN11317399,NA,NA,npsg,2017-5-29,4:27:00,15,2,Pacific Ocean,25.7682965 N 158.014165 W,25.7682965,158.014165,NA,PCR,METAGENOMIC,whole,NA
Gradoville56.68741,Gradoville_2020,NA,NA,NA,NA,NA,NA,transition,2017-6-6,4:29:00,25,11,NA,36.99987667 N 158.000035 W,36.99987667,158.000035,NA,NA,METAGENOMIC,whole,NA
Gradoville57.68742,Gradoville_2020,NA,NA,NA,NA,NA,NA,transition,2017-6-6,4:29:00,25,11,NA,36.99987667 N 158.000035 W,36.99987667,158.000035,NA,NA,METAGENOMIC,whole,NA
Gradoville58.68748,Gradoville_2020,NA,NA,NA,NA,NA,NA,transition,2017-6-7,3:33:00,15,12,NA,36 N 158 W,36,158,NA,NA,METAGENOMIC,whole,NA
Gradoville6.68497,Gradoville_2020,SRR8844191,NA,PRJNA530276,SAMN11317400,NA,NA,npsg,2017-5-29,4:27:00,15,2,Pacific Ocean,25.7682965 N 158.014165 W,25.7682965,158.014165,NA,PCR,METAGENOMIC,whole,NA
Gradoville60.68767,Gradoville_2020,NA,NA,NA,NA,NA,NA,transition,2017-6-7,3:33:00,50,12,NA,36 N 158 W,36,158,NA,NA,METAGENOMIC,whole,NA
Gradoville61.68768,Gradoville_2020,NA,NA,NA,NA,NA,NA,transition,2017-6-7,3:33:00,50,12,NA,36 N 158 W,36,158,NA,NA,METAGENOMIC,whole,NA
Gradoville62.68773,Gradoville_2020,NA,NA,NA,NA,NA,NA,transition,2017-6-7,3:33:00,45,12,NA,36 N 158 W,36,158,NA,NA,METAGENOMIC,whole,NA
Gradoville64.68777,Gradoville_2020,NA,NA,NA,NA,NA,NA,transition,2017-6-8,10:48:00,120,14,NA,34.50003667 N 158.000125 W,34.50003667,158.000125,NA,NA,METAGENOMIC,whole,NA
Gradoville65.68778,Gradoville_2020,NA,NA,NA,NA,NA,NA,transition,2017-6-8,10:48:00,120,14,NA,34.50003667 N 158.000125 W,34.50003667,158.000125,NA,NA,METAGENOMIC,whole,NA
Gradoville66.68789,Gradoville_2020,SRR8844109,NA,PRJNA530276,SAMN11317441,NA,NA,transition,2017-6-8,10:48:00,15,14,Pacific Ocean,34.50003667 N 158.000125 W,34.50003667,158.000125,NA,PCR,METAGENOMIC,whole,NA
Gradoville67.68790,Gradoville_2020,NA,NA,NA,NA,NA,NA,transition,2017-6-8,10:48:00,15,14,NA,34.50003667 N 158.000125 W,34.50003667,158.000125,NA,NA,METAGENOMIC,whole,NA
Gradoville68.68819,Gradoville_2020,SRR8844108,NA,PRJNA530276,SAMN11317442,NA,NA,transition,2017-6-8,10:48:00,60,14,Pacific Ocean,34.50003667 N 158.000125 W,34.50003667,158.000125,NA,PCR,METAGENOMIC,whole,NA
Gradoville69.68820,Gradoville_2020,NA,NA,NA,NA,NA,NA,transition,2017-6-8,10:48:00,60,14,NA,34.50003667 N 158.000125 W,34.50003667,158.000125,NA,NA,METAGENOMIC,whole,NA
Gradoville7.68502,Gradoville_2020,SRR8844129,NA,PRJNA530276,SAMN11317401,NA,NA,npsg,2017-5-29,4:27:00,25,2,Pacific Ocean,25.7682965 N 158.014165 W,25.7682965,158.014165,NA,PCR,METAGENOMIC,whole,NA
Gradoville70.68825,Gradoville_2020,NA,NA,NA,NA,NA,NA,transition,2017-6-9,3:32:00,15,15,NA,34.00011667 N 157.99995 W,34.00011667,157.99995,NA,NA,METAGENOMIC,whole,NA
Gradoville71.68826,Gradoville_2020,NA,NA,NA,NA,NA,NA,transition,2017-6-9,3:32:00,15,15,NA,34.00011667 N 157.99995 W,34.00011667,157.99995,NA,NA,METAGENOMIC,whole,NA
Gradoville72.68833,Gradoville_2020,SRR8844111,NA,PRJNA530276,SAMN11317443,NA,NA,transition,2017-6-9,3:32:00,90,15,Pacific Ocean,34.00011667 N 157.99995 W,34.00011667,157.99995,NA,PCR,METAGENOMIC,whole,NA
Gradoville73.68834,Gradoville_2020,SRR8844159,NA,PRJNA530276,SAMN11317444,NA,NA,transition,2017-6-9,3:32:00,90,15,Pacific Ocean,34.00011667 N 157.99995 W,34.00011667,157.99995,NA,PCR,METAGENOMIC,whole,NA
Gradoville74.68843,Gradoville_2020,NA,NA,NA,NA,NA,NA,transition,2017-6-9,3:32:00,25,15,NA,34.00011667 N 157.99995 W,34.00011667,157.99995,NA,NA,METAGENOMIC,whole,NA
Gradoville75.68844,Gradoville_2020,NA,NA,NA,NA,NA,NA,transition,2017-6-9,3:32:00,25,15,NA,34.00011667 N 157.99995 W,34.00011667,157.99995,NA,NA,METAGENOMIC,whole,NA
Gradoville77.68482,Gradoville_2020,NA,NA,NA,NA,NA,NA,npsg,2017-5-27,20:44:00,15,1,NA,21.31966333 N 158.2319267 W,21.31966333,158.2319267,NA,NA,METATRANSCRIPTOMIC,whole,NA
Gradoville78.68483,Gradoville_2020,NA,NA,NA,NA,NA,NA,npsg,2017-5-27,20:44:00,15,1,NA,21.31966333 N 158.2319267 W,21.31966333,158.2319267,NA,NA,METATRANSCRIPTOMIC,whole,NA
Gradoville79.68494,Gradoville_2020,SRR8844196,NA,PRJNA530276,SAMN11317469,NA,NA,npsg,2017-5-29,4:27:00,15,2,Pacific Ocean,25.7682965 N 158.014165 W,25.7682965,158.014165,NA,PCR,METATRANSCRIPTOMIC,whole,NA
Gradoville8.68503,Gradoville_2020,SRR8844128,NA,PRJNA530276,SAMN11317402,NA,NA,npsg,2017-5-29,4:27:00,25,2,Pacific Ocean,25.7682965 N 158.014165 W,25.7682965,158.014165,NA,PCR,METAGENOMIC,whole,NA
Gradoville80.68495,Gradoville_2020,SRR8844197,NA,PRJNA530276,SAMN11317470,NA,NA,npsg,2017-5-29,4:27:00,15,2,Pacific Ocean,25.7682965 N 158.014165 W,25.7682965,158.014165,NA,PCR,METATRANSCRIPTOMIC,whole,NA
Gradoville81.68522,Gradoville_2020,SRR8844149,NA,PRJNA530276,SAMN11317471,NA,NA,npsg,2017-5-30,3:34:00,15,3,Pacific Ocean,28.47083333 N 157.9978333 W,28.47083333,157.9978333,NA,PCR,METATRANSCRIPTOMIC,whole,NA
Gradoville82.68523,Gradoville_2020,SRR8844150,NA,PRJNA530276,SAMN11317472,NA,NA,npsg,2017-5-30,3:34:00,15,3,Pacific Ocean,28.47083333 N 157.9978333 W,28.47083333,157.9978333,NA,PCR,METATRANSCRIPTOMIC,whole,NA
Gradoville83.68541,Gradoville_2020,SRR8844119,NA,PRJNA530276,SAMN11317473,NA,NA,npsg,2017-5-31,3:42:00,15,4,Pacific Ocean,32.25811 N 157.99977 W,32.25811,157.99977,NA,PCR,METATRANSCRIPTOMIC,whole,NA
Gradoville84.68542,Gradoville_2020,SRR8844118,NA,PRJNA530276,SAMN11317474,NA,NA,npsg,2017-5-31,3:42:00,15,4,Pacific Ocean,32.25811 N 157.99977 W,32.25811,157.99977,NA,PCR,METATRANSCRIPTOMIC,whole,NA
Gradoville85.68893,Gradoville_2020,SRR8844090,NA,PRJNA530276,SAMN11317475,NA,NA,npsg,2017-6-10,3:31:00,15,17,Pacific Ocean,32.00007833 N 157.9999417 W,32.00007833,157.9999417,NA,PCR,METATRANSCRIPTOMIC,whole,NA
Gradoville86.68894,Gradoville_2020,SRR8844091,NA,PRJNA530276,SAMN11317476,NA,NA,npsg,2017-6-10,3:31:00,15,17,Pacific Ocean,32.00007833 N 157.9999417 W,32.00007833,157.9999417,NA,PCR,METATRANSCRIPTOMIC,whole,NA
Gradoville87.68911,Gradoville_2020,SRR8844074,NA,PRJNA530276,SAMN11317477,NA,NA,npsg,2017-6-11,3:31:00,15,18,Pacific Ocean,29.58205 N 158.0019667 W,29.58205,158.0019667,NA,PCR,METATRANSCRIPTOMIC,whole,NA
Gradoville88.68912,Gradoville_2020,SRR8844081,NA,PRJNA530276,SAMN11317478,NA,NA,npsg,2017-6-11,3:31:00,15,18,Pacific Ocean,29.58205 N 158.0019667 W,29.58205,158.0019667,NA,PCR,METATRANSCRIPTOMIC,whole,NA
Gradoville9.68504,Gradoville_2020,SRR8844127,NA,PRJNA530276,SAMN11317403,NA,NA,npsg,2017-5-29,4:27:00,60,2,Pacific Ocean,25.7682965 N 158.014165 W,25.7682965,158.014165,NA,PCR,METAGENOMIC,whole,NA
Gradoville93.68869,Gradoville_2020,NA,NA,NA,NA,NA,NA,transition,2017-6-9,16:04:00,120,16,NA,32.92878333 N 158.0003 W,32.92878333,158.0003,NA,NA,METAGENOMIC,whole,NA
Gradoville94.68870,Gradoville_2020,NA,NA,NA,NA,NA,NA,transition,2017-6-9,16:04:00,120,16,NA,32.92878333 N 158.0003 W,32.92878333,158.0003,NA,NA,METAGENOMIC,whole,NA
Gradoville95.68871,Gradoville_2020,NA,NA,NA,NA,NA,NA,transition,2017-6-9,16:04:00,95,16,NA,32.92878333 N 158.0003 W,32.92878333,158.0003,NA,NA,METAGENOMIC,whole,NA
Gradoville96.68879,Gradoville_2020,SRR8844105,NA,PRJNA530276,SAMN11317445,NA,NA,transition,2017-6-9,16:04:00,12,16,Pacific Ocean,32.92878333 N 158.0003 W,32.92878333,158.0003,NA,PCR,METAGENOMIC,whole,NA
Gradoville97.68880,Gradoville_2020,SRR8844104,NA,PRJNA530276,SAMN11317446,NA,NA,transition,2017-6-9,16:04:00,12,16,Pacific Ocean,32.92878333 N 158.0003 W,32.92878333,158.0003,NA,PCR,METAGENOMIC,whole,NA
Gradoville98.68885,Gradoville_2020,SRR8844092,NA,PRJNA530276,SAMN11317447,NA,NA,npsg,2017-6-10,3:31:00,15,17,Pacific Ocean,32.00007833 N 157.9999417 W,32.00007833,157.9999417,NA,PCR,METAGENOMIC,whole,NA
Gradoville99.68886,Gradoville_2020,SRR8844093,NA,PRJNA530276,SAMN11317448,NA,NA,npsg,2017-6-10,3:31:00,15,17,Pacific Ocean,32.00007833 N 157.9999417 W,32.00007833,157.9999417,NA,PCR,METAGENOMIC,whole,NA
Hanna1.63683A,Gradoville_2020,SRR8844189,NA,PRJNA530276,SAMN11317369,NA,NA,npsg,2016-4-20,NA,15,2,Pacific Ocean,23.297 N 158 W,23.297,158,NA,PCR,METAGENOMIC,3,Morning
Hanna10.64077A,Gradoville_2020,SRR8844071,NA,PRJNA530276,SAMN11317359,NA,NA,npsg,2016-5-1,NA,15,13,Pacific Ocean,29.42 N 158 W,29.42,158,NA,PCR,METAGENOMIC,0.2,Morning
Hanna11.64088A,Gradoville_2020,SRR8844072,NA,PRJNA530276,SAMN11317388,NA,NA,npsg,2016-5-2,NA,15,14,Pacific Ocean,26.17 N 157.599 W,26.17,157.599,NA,PCR,METAGENOMIC,3,Morning
Hanna12.64089A,Gradoville_2020,SRR8844073,NA,PRJNA530276,SAMN11317360,NA,NA,npsg,2016-5-2,NA,15,14,Pacific Ocean,26.17 N 157.599 W,26.17,157.599,NA,PCR,METAGENOMIC,0.2,Morning
Hanna13.63687A,Gradoville_2020,SRR8844112,NA,PRJNA530276,SAMN11317370,NA,NA,npsg,2016-4-20,NA,200,2,Pacific Ocean,23.297 N 158 W,23.297,158,NA,PCR,METAGENOMIC,3,Profile
Hanna14.63688A,Gradoville_2020,SRR8844113,NA,PRJNA530276,SAMN11317344,NA,NA,npsg,2016-4-20,NA,200,2,Pacific Ocean,23.297 N 158 W,23.297,158,NA,PCR,METAGENOMIC,0.2,Profile
Hanna15.63689A,Gradoville_2020,SRR8844110,NA,PRJNA530276,SAMN11317371,NA,NA,npsg,2016-4-20,NA,150,2,Pacific Ocean,23.297 N 158 W,23.297,158,NA,PCR,METAGENOMIC,3,Profile
Hanna16.63690A,Gradoville_2020,SRR8844160,NA,PRJNA530276,SAMN11317345,NA,NA,npsg,2016-4-20,NA,150,2,Pacific Ocean,23.297 N 158 W,23.297,158,NA,PCR,METAGENOMIC,0.2,Profile
Hanna17.63693A,Gradoville_2020,SRR8844157,NA,PRJNA530276,SAMN11317372,NA,NA,npsg,2016-4-20,NA,110,2,Pacific Ocean,23.297 N 158 W,23.297,158,NA,PCR,METAGENOMIC,3,Profile
Hanna18.63694A,Gradoville_2020,SRR8844158,NA,PRJNA530276,SAMN11317346,NA,NA,npsg,2016-4-20,NA,110,2,Pacific Ocean,23.297 N 158 W,23.297,158,NA,PCR,METAGENOMIC,0.2,Profile
Hanna19.63695A,Gradoville_2020,SRR8844106,NA,PRJNA530276,SAMN11317373,NA,NA,npsg,2016-4-20,NA,75,2,Pacific Ocean,23.297 N 158 W,23.297,158,NA,PCR,METAGENOMIC,3,Profile
Hanna2.63684A,Gradoville_2020,SRR8844146,NA,PRJNA530276,SAMN11317343,NA,NA,npsg,2016-4-20,NA,15,2,Pacific Ocean,23.297 N 158 W,23.297,158,NA,PCR,METAGENOMIC,0.2,Morning
Hanna20.63696A,Gradoville_2020,SRR8844107,NA,PRJNA530276,SAMN11317347,NA,NA,npsg,2016-4-20,NA,75,2,Pacific Ocean,23.297 N 158 W,23.297,158,NA,PCR,METAGENOMIC,0.2,Profile
Hanna21.63697A,Gradoville_2020,SRR8844100,NA,PRJNA530276,SAMN11317374,NA,NA,npsg,2016-4-20,NA,60,2,Pacific Ocean,23.297 N 158 W,23.297,158,NA,PCR,METAGENOMIC,3,Profile
Hanna22.63698A,Gradoville_2020,SRR8844101,NA,PRJNA530276,SAMN11317348,NA,NA,npsg,2016-4-20,NA,60,2,Pacific Ocean,23.297 N 158 W,23.297,158,NA,PCR,METAGENOMIC,0.2,Profile
Hanna23.63699A,Gradoville_2020,SRR8844098,NA,PRJNA530276,SAMN11317375,NA,NA,npsg,2016-4-20,NA,45,2,Pacific Ocean,23.297 N 158 W,23.297,158,NA,PCR,METAGENOMIC,3,Profile
Hanna24.63700A,Gradoville_2020,SRR8844099,NA,PRJNA530276,SAMN11317349,NA,NA,npsg,2016-4-20,NA,45,2,Pacific Ocean,23.297 N 158 W,23.297,158,NA,PCR,METAGENOMIC,0.2,Profile
Hanna25.63703A,Gradoville_2020,SRR8844096,NA,PRJNA530276,SAMN11317376,NA,NA,npsg,2016-4-20,NA,15,2,Pacific Ocean,23.297 N 158 W,23.297,158,NA,PCR,METAGENOMIC,3,Profile
Hanna27.63707A,Gradoville_2020,SRR8844097,NA,PRJNA530276,SAMN11317377,NA,NA,npsg,2016-4-20,NA,5,2,Pacific Ocean,23.297 N 158 W,23.297,158,NA,PCR,METAGENOMIC,3,Profile
Hanna28.63708A,Gradoville_2020,SRR8844094,NA,PRJNA530276,SAMN11317350,NA,NA,npsg,2016-4-20,NA,5,2,Pacific Ocean,23.297 N 158 W,23.297,158,NA,PCR,METAGENOMIC,0.2,Profile
Hanna29.63737A,Gradoville_2020,SRR8844181,NA,PRJNA530276,SAMN11317380,NA,NA,npsg,2016-4-22,NA,90,4,Pacific Ocean,29.27 N 157.59 W,29.27,157.59,NA,PCR,METAGENOMIC,3,Profile
Hanna3.63711A,Gradoville_2020,SRR8844095,NA,PRJNA530276,SAMN11317378,NA,NA,npsg,2016-4-21,NA,15,3,Pacific Ocean,24.41 N 157.6 W,24.41,157.6,NA,PCR,METAGENOMIC,3,Morning
Hanna30.63738A,Gradoville_2020,SRR8844180,NA,PRJNA530276,SAMN11317353,NA,NA,npsg,2016-4-22,NA,90,4,Pacific Ocean,28.141 N 158 W,28.141,158,NA,PCR,METAGENOMIC,0.2,Profile
Hanna31.63741A,Gradoville_2020,SRR8844179,NA,PRJNA530276,SAMN11317381,NA,NA,npsg,2016-4-22,NA,75,4,Pacific Ocean,28.141 N 158 W,28.141,158,NA,PCR,METAGENOMIC,3,Profile
Hanna32.63743A,Gradoville_2020,SRR8844178,NA,PRJNA530276,SAMN11317382,NA,NA,npsg,2016-4-22,NA,60,4,Pacific Ocean,28.141 N 158 W,28.141,158,NA,PCR,METAGENOMIC,3,Profile
Hanna33.63744A,Gradoville_2020,SRR8844177,NA,PRJNA530276,SAMN11317354,NA,NA,npsg,2016-4-22,NA,60,4,Pacific Ocean,28.141 N 158 W,28.141,158,NA,PCR,METAGENOMIC,0.2,Profile
Hanna34.63745A,Gradoville_2020,SRR8844176,NA,PRJNA530276,SAMN11317383,NA,NA,npsg,2016-4-22,NA,45,4,Pacific Ocean,28.141 N 158 W,28.141,158,NA,PCR,METAGENOMIC,3,Profile
Hanna35.63746A,Gradoville_2020,SRR8844175,NA,PRJNA530276,SAMN11317355,NA,NA,npsg,2016-4-22,NA,45,4,Pacific Ocean,28.141 N 158 W,28.141,158,NA,PCR,METAGENOMIC,0.2,Profile
Hanna36.63749A,Gradoville_2020,SRR8844174,NA,PRJNA530276,SAMN11317384,NA,NA,npsg,2016-4-22,NA,15,4,Pacific Ocean,28.141 N 158 W,28.141,158,NA,PCR,METAGENOMIC,3,Profile
Hanna37.63750A,Gradoville_2020,SRR8844173,NA,PRJNA530276,SAMN11317356,NA,NA,npsg,2016-4-22,NA,15,4,Pacific Ocean,28.141 N 158 W,28.141,158,NA,PCR,METAGENOMIC,0.2,Profile
Hanna38.63753A,Gradoville_2020,SRR8844066,NA,PRJNA530276,SAMN11317385,NA,NA,npsg,2016-4-22,NA,5,4,Pacific Ocean,28.141 N 158 W,28.141,158,NA,PCR,METAGENOMIC,3,Profile
Hanna39.63754A,Gradoville_2020,SRR8844067,NA,PRJNA530276,SAMN11317357,NA,NA,npsg,2016-4-22,NA,5,4,Pacific Ocean,28.141 N 158 W,28.141,158,NA,PCR,METAGENOMIC,0.2,Profile
Hanna4.63712A,Gradoville_2020,SRR8844102,NA,PRJNA530276,SAMN11317351,NA,NA,npsg,2016-4-21,NA,15,3,Pacific Ocean,24.41 N 157.6 W,24.41,157.6,NA,PCR,METAGENOMIC,0.2,Morning
Hanna40.64095A,Gradoville_2020,SRR8844064,NA,PRJNA530276,SAMN11317389,NA,NA,npsg,2016-5-2,NA,200,14,Pacific Ocean,26.17 N 157.599 W,26.17,157.599,NA,PCR,METAGENOMIC,3,Profile
Hanna41.64096A,Gradoville_2020,SRR8844065,NA,PRJNA530276,SAMN11317361,NA,NA,npsg,2016-5-2,NA,200,14,Pacific Ocean,26.17 N 157.599 W,26.17,157.599,NA,PCR,METAGENOMIC,0.2,Profile
Hanna42.64097A,Gradoville_2020,SRR8844166,NA,PRJNA530276,SAMN11317390,NA,NA,npsg,2016-5-2,NA,150,14,Pacific Ocean,26.17 N 157.599 W,26.17,157.599,NA,PCR,METAGENOMIC,3,Profile
Hanna43.64098A,Gradoville_2020,SRR8844165,NA,PRJNA530276,SAMN11317362,NA,NA,npsg,2016-5-2,NA,150,14,Pacific Ocean,26.17 N 157.599 W,26.17,157.599,NA,PCR,METAGENOMIC,0.2,Profile
Hanna44.64101A,Gradoville_2020,SRR8844168,NA,PRJNA530276,SAMN11317391,NA,NA,npsg,2016-5-2,NA,120,14,Pacific Ocean,26.17 N 157.599 W,26.17,157.599,NA,PCR,METAGENOMIC,3,Profile
Hanna45.64102A,Gradoville_2020,SRR8844167,NA,PRJNA530276,SAMN11317363,NA,NA,npsg,2016-5-2,NA,120,14,Pacific Ocean,26.17 N 157.599 W,26.17,157.599,NA,PCR,METAGENOMIC,0.2,Profile
Hanna47.64105A,Gradoville_2020,SRR8844170,NA,PRJNA530276,SAMN11317392,NA,NA,npsg,2016-5-2,NA,75,14,Pacific Ocean,26.17 N 157.599 W,26.17,157.599,NA,PCR,METAGENOMIC,3,Profile
Hanna48.64106A,Gradoville_2020,SRR8844169,NA,PRJNA530276,SAMN11317364,NA,NA,npsg,2016-5-2,NA,75,14,Pacific Ocean,26.17 N 157.599 W,26.17,157.599,NA,PCR,METAGENOMIC,0.2,Profile
Hanna49.64107A,Gradoville_2020,SRR8844172,NA,PRJNA530276,SAMN11317393,NA,NA,npsg,2016-5-2,NA,60,14,Pacific Ocean,26.17 N 157.599 W,26.17,157.599,NA,PCR,METAGENOMIC,3,Profile
Hanna5.63727A,Gradoville_2020,SRR8844103,NA,PRJNA530276,SAMN11317379,NA,NA,npsg,2016-4-22,NA,15,4,Pacific Ocean,28.141 N 158 W,28.141,158,NA,PCR,METAGENOMIC,3,Morning
Hanna50.64108A,Gradoville_2020,SRR8844171,NA,PRJNA530276,SAMN11317365,NA,NA,npsg,2016-5-2,NA,60,14,Pacific Ocean,26.17 N 157.599 W,26.17,157.599,NA,PCR,METAGENOMIC,0.2,Profile
Hanna51.64109A,Gradoville_2020,SRR8844163,NA,PRJNA530276,SAMN11317394,NA,NA,npsg,2016-5-2,NA,45,14,Pacific Ocean,26.17 N 157.599 W,26.17,157.599,NA,PCR,METAGENOMIC,3,Profile
Hanna52.64110A,Gradoville_2020,SRR8844162,NA,PRJNA530276,SAMN11317366,NA,NA,npsg,2016-5-2,NA,45,14,Pacific Ocean,26.17 N 157.599 W,26.17,157.599,NA,PCR,METAGENOMIC,0.2,Profile
Hanna53.64113A,Gradoville_2020,SRR8844194,NA,PRJNA530276,SAMN11317395,NA,NA,npsg,2016-5-2,NA,15,14,Pacific Ocean,26.17 N 157.599 W,26.17,157.599,NA,PCR,METAGENOMIC,3,Profile
Hanna54.64114A,Gradoville_2020,SRR8844195,NA,PRJNA530276,SAMN11317367,NA,NA,npsg,2016-5-2,NA,15,14,Pacific Ocean,26.17 N 157.599 W,26.17,157.599,NA,PCR,METAGENOMIC,0.2,Profile
Hanna55.64117A,Gradoville_2020,SRR8844192,NA,PRJNA530276,SAMN11317396,NA,NA,npsg,2016-5-2,NA,5,14,Pacific Ocean,26.17 N 157.599 W,26.17,157.599,NA,PCR,METAGENOMIC,3,Profile
Hanna56.64118A,Gradoville_2020,SRR8844193,NA,PRJNA530276,SAMN11317368,NA,NA,npsg,2016-5-2,NA,5,14,Pacific Ocean,26.17 N 157.599 W,26.17,157.599,NA,PCR,METAGENOMIC,0.2,Profile
Hanna6.63728A,Gradoville_2020,SRR8844182,NA,PRJNA530276,SAMN11317352,NA,NA,npsg,2016-4-22,NA,15,4,Pacific Ocean,28.141 N 158 W,28.141,158,NA,PCR,METAGENOMIC,0.2,Morning
Hanna7.63757A,Gradoville_2020,SRR8844068,NA,PRJNA530276,SAMN11317386,NA,NA,npsg,2016-4-23,NA,15,5,Pacific Ocean,29.42 N 158 W,29.42,158,NA,PCR,METAGENOMIC,3,Morning
Hanna8.63758A,Gradoville_2020,SRR8844069,NA,PRJNA530276,SAMN11317358,NA,NA,npsg,2016-4-23,NA,15,5,Pacific Ocean,29.27 N 157.59 W,29.27,157.59,NA,PCR,METAGENOMIC,0.2,Morning
Hanna9.64076A,Gradoville_2020,SRR8844070,NA,PRJNA530276,SAMN11317387,NA,NA,npsg,2016-5-1,NA,15,13,Pacific Ocean,26.17 N 157.599 W,26.17,157.599,NA,PCR,METAGENOMIC,3,Morning
Harding137.63180_S137,Harding_2018,NA,NA,Harding_2018,NA,NA,NA,Off.Nome,2016-9-3,NA,1,S1,NA,NA,64.748 N,167.126 W,NA,NA,METAGENOMIC,3,NA
Harding138.63181_S138,Harding_2018,NA,NA,Harding_2018,NA,NA,NA,Off.Nome,2016-9-3,NA,1,S1,NA,NA,64.748 N,167.126 W,NA,NA,METAGENOMIC,0.2,NA
Harding139.63188_S139,Harding_2018,NA,NA,Harding_2018,NA,NA,NA,Ice.Algae,2016-9-5,NA,33,S2,NA,NA,71.66 N,159.934 W,NA,NA,METAGENOMIC,3,NA
Harding140.63189_S140,Harding_2018,NA,NA,Harding_2018,NA,NA,NA,Ice.Algae,2016-9-5,NA,33,S2,NA,NA,71.66 N,159.934 W,NA,NA,METAGENOMIC,0.2,NA
Harding141.63190_S141,Harding_2018,NA,NA,Harding_2018,NA,NA,NA,Ice.Algae,2016-9-5,NA,1,S2,NA,NA,71.66 N,159.934 W,NA,NA,METAGENOMIC,3,NA
Harding142.63191_S142,Harding_2018,NA,NA,Harding_2018,NA,NA,NA,Ice.Algae,2016-9-5,NA,1,S2,NA,NA,71.66 N,159.934 W,NA,NA,METAGENOMIC,0.2,NA
